"MUN_INFE" "year_notif" "municipio" "uf" "count_falciparum" "perc_falciparum" "count" "pro_tratamento"
110001 2007 "Alta Floresta Doeste" "Rondônia" 59 0.2 166 0.56271186440678
110001 2008 "Alta Floresta Doeste" "Rondônia" 13 0.0472727272727273 182 0.661818181818182
110001 2009 "Alta Floresta Doeste" "Rondônia" 3 0.03125 69 0.71875
110001 2010 "Alta Floresta Doeste" "Rondônia" 1 0.0238095238095238 20 0.476190476190476
110001 2012 "Alta Floresta Doeste" "Rondônia" 2 0.0512820512820513 19 0.487179487179487
110001 2013 "Alta Floresta Doeste" "Rondônia" 4 0.0449438202247191 44 0.49438202247191
110002 2007 "Ariquemes" "Rondônia" 580 0.20393811533052 2386 0.838959212376934
110002 2008 "Ariquemes" "Rondônia" 169 0.0985422740524781 1371 0.799416909620991
110002 2009 "Ariquemes" "Rondônia" 210 0.139442231075697 1077 0.715139442231076
110002 2010 "Ariquemes" "Rondônia" 229 0.129014084507042 1264 0.712112676056338
110002 2011 "Ariquemes" "Rondônia" 83 0.124251497005988 430 0.643712574850299
110002 2012 "Ariquemes" "Rondônia" 27 0.102661596958175 167 0.634980988593156
110002 2013 "Ariquemes" "Rondônia" 10 0.0469483568075117 104 0.488262910798122
110002 2014 "Ariquemes" "Rondônia" 8 0.0769230769230769 75 0.721153846153846
110002 2016 "Ariquemes" "Rondônia" 5 0.034965034965035 81 0.566433566433566
110002 2017 "Ariquemes" "Rondônia" 1 0.00680272108843537 79 0.537414965986395
110002 2018 "Ariquemes" "Rondônia" 9 0.00957446808510638 590 0.627659574468085
110002 2019 "Ariquemes" "Rondônia" 15 0.0346420323325635 245 0.565819861431871
110004 2007 "Cacoal" "Rondônia" 4 0.0869565217391304 22 0.478260869565217
110004 2008 "Cacoal" "Rondônia" 3 0.09375 12 0.375
110004 2009 "Cacoal" "Rondônia" 1 0.0384615384615385 9 0.346153846153846
110004 2010 "Cacoal" "Rondônia" 5 0.2 10 0.4
110004 2017 "Cacoal" "Rondônia" 1 0.2 2 0.4
110005 2007 "Cerejeiras" "Rondônia" 3 0.375 6 0.75
110006 2007 "Colorado do Oeste" "Rondônia" 1 0.142857142857143 3 0.428571428571429
110007 2008 "Corumbiara" "Rondônia" 1 0.333333333333333 1 0.333333333333333
110008 2007 "Costa Marques" "Rondônia" 83 0.147424511545293 382 0.678507992895204
110008 2008 "Costa Marques" "Rondônia" 22 0.0711974110032362 192 0.621359223300971
110008 2009 "Costa Marques" "Rondônia" 7 0.0286885245901639 160 0.655737704918033
110008 2010 "Costa Marques" "Rondônia" 8 0.0183908045977011 163 0.374712643678161
110008 2013 "Costa Marques" "Rondônia" 1 0.0078740157480315 116 0.913385826771654
110008 2014 "Costa Marques" "Rondônia" 1 0.0212765957446809 31 0.659574468085106
110008 2015 "Costa Marques" "Rondônia" 2 0.0327868852459016 52 0.852459016393443
110009 2007 "EspigaÞo Doeste" "Rondônia" 6 0.103448275862069 18 0.310344827586207
110009 2008 "EspigaÞo Doeste" "Rondônia" 7 0.00767543859649123 349 0.382675438596491
110009 2009 "EspigaÞo Doeste" "Rondônia" 42 0.0363636363636364 540 0.467532467532468
110009 2010 "EspigaÞo Doeste" "Rondônia" 406 0.380149812734082 468 0.438202247191011
110009 2012 "EspigaÞo Doeste" "Rondônia" 2 0.117647058823529 7 0.411764705882353
110010 2007 "Guajará-Mirim" "Rondônia" 526 0.158005407029138 1678 0.504055271853409
110010 2008 "Guajará-Mirim" "Rondônia" 49 0.0376055257099002 675 0.518035303146585
110010 2009 "Guajará-Mirim" "Rondônia" 28 0.0353982300884956 372 0.470290771175727
