"uf" "year_notif" "count_falciparum" "total.x" "perc_falciparum" "count" "total.y" "pro_tratamento"
"Acre" 2007 7901 55908 0.14132145667883 36409 55908 0.651230593117264
"Acre" 2008 3390 28495 0.118968240042113 17756 28495 0.623126864362169
"Acre" 2009 3180 28330 0.112248499823509 17582 28330 0.620614189904695
"Acre" 2010 4436 40856 0.108576463677306 25627 40856 0.627251811239475
"Acre" 2011 2734 25141 0.108746668788035 16927 25141 0.673282685652917
"Acre" 2012 4961 29986 0.165443873807777 19645 29986 0.655139064896952
"Acre" 2013 8236 36563 0.225255039247327 25012 36563 0.684079533955091
"Acre" 2014 7565 33537 0.225571756567373 21610 33537 0.644362942421803
"Acre" 2015 4339 29180 0.148697738176833 18958 29180 0.649691569568197
"Acre" 2016 5086 38401 0.13244446759199 26125 38401 0.680320824978516
"Acre" 2017 6179 42119 0.146703388019659 28413 42119 0.674588665447898
"Acre" 2018 4359 31539 0.138209835441834 19839 31539 0.62903072386569
"Acre" 2019 2678 14696 0.182226456178552 8513 14696 0.579273271638541
"Amapá" 2007 4222 20906 0.20195159284416 11885 20906 0.568497082177365
"Amapá" 2008 1609 13953 0.115315702716262 7905 13953 0.566544829069017
"Amapá" 2009 1513 14463 0.104611767959621 7917 14463 0.547396805641983
"Amapá" 2010 1926 14260 0.135063113604488 7437 14260 0.521528751753156
"Amapá" 2011 3317 19379 0.171164662779297 9987 19379 0.515351669332783
"Amapá" 2012 2396 14883 0.160989047907008 7697 14883 0.51716723778808
"Amapá" 2013 1912 15643 0.122227194272198 7453 15643 0.476443137505594
"Amapá" 2014 691 14929 0.0462857525621274 7236 14929 0.484694219304709
"Amapá" 2015 586 15541 0.0377067112798404 7596 15541 0.488771636316839
"Amapá" 2016 1106 13641 0.0810790997727439 6353 13641 0.465728319038194
"Amapá" 2017 1081 16727 0.0646260536856579 7586 16727 0.453518263884737
"Amapá" 2018 609 16482 0.0369493993447397 8003 16482 0.48556000485378
"Amapá" 2019 577 11793 0.0489273297718986 5825 11793 0.493937081319427
"Amazonas" 2007 34813 241475 0.144168133347137 129073 241475 0.534519101356248
"Amazonas" 2008 19532 164119 0.119011205283971 88085 164119 0.536714213467057
"Amazonas" 2009 11588 118186 0.0980488382718765 61139 118186 0.517311695124634
"Amazonas" 2010 8356 84492 0.0988969369881172 45022 84492 0.53285518155565
"Amazonas" 2011 3875 67568 0.057349632962349 34682 67568 0.513290314941984
"Amazonas" 2012 5244 91429 0.0573559811438384 45618 91429 0.498944536197487
"Amazonas" 2013 6282 86035 0.0730167954902075 45886 86035 0.533341082117743
"Amazonas" 2014 6166 75210 0.0819837787528254 39101 75210 0.51989097194522
"Amazonas" 2015 4658 85650 0.0543841214244016 47011 85650 0.54887332165791
"Amazonas" 2016 2652 58599 0.0452567449956484 31659 58599 0.540265192238775
"Amazonas" 2017 6257 97886 0.063921296201704 53843 97886 0.550058231003412
"Amazonas" 2018 7045 85986 0.0819319424092294 48233 85986 0.560940153048171
"Amazonas" 2019 5691 75482 0.075395458519912 41309 75482 0.547269547706738
"Maranhão" 2007 1585 6480 0.244598765432099 2173 6480 0.33533950617284
"Maranhão" 2008 263 4449 0.0591144077320746 1730 4449 0.388851427287031
"Maranhão" 2009 598 5137 0.11641035623905 1889 5137 0.367724352735059
"Maranhão" 2010 309 3259 0.0948143602332004 1254 3259 0.384780607548328
"Maranhão" 2011 33 2833 0.0116484292269679 1020 2833 0.360042357924462
"Maranhão" 2012 17 1172 0.0145051194539249 382 1172 0.325938566552901
"Maranhão" 2013 50 671 0.0745156482861401 232 671 0.34575260804769
"Maranhão" 2014 6 760 0.00789473684210526 288 760 0.378947368421053
"Maranhão" 2015 3 231 0.012987012987013 89 231 0.385281385281385
"Maranhão" 2016 9 182 0.0494505494505494 85 182 0.467032967032967
"Maranhão" 2017 17 421 0.0403800475059382 232 421 0.551068883610451
"Maranhão" 2018 1 378 0.00264550264550265 201 378 0.531746031746032
"Mato Grosso" 2007 2452 10164 0.241243604879969 7214 10164 0.709759937032664
"Mato Grosso" 2008 685 4615 0.148429035752979 3183 4615 0.689707475622969
"Mato Grosso" 2009 588 3954 0.148710166919575 2488 3954 0.629236216489631
"Mato Grosso" 2010 436 2547 0.171181782489203 1418 2547 0.556733411857087
"Mato Grosso" 2011 279 2104 0.132604562737643 1290 2104 0.613117870722434
"Mato Grosso" 2012 95 1449 0.0655624568668047 1003 1449 0.692201518288475
"Mato Grosso" 2013 115 1536 0.0748697916666667 972 1536 0.6328125
"Mato Grosso" 2014 11 1285 0.00856031128404669 870 1285 0.67704280155642
"Mato Grosso" 2015 8 1689 0.00473653049141504 1087 1689 0.643576080521018
"Mato Grosso" 2016 4 816 0.00490196078431373 584 816 0.715686274509804
"Mato Grosso" 2017 3 758 0.00395778364116095 539 758 0.711081794195251
"Mato Grosso" 2018 23 1333 0.0172543135783946 914 1333 0.685671417854464
"Mato Grosso" 2019 268 2997 0.0894227560894228 1819 2997 0.60694027360694
"Pará" 2007 16159 92812 0.174104641641167 48943 92812 0.52733482739301
"Pará" 2008 10731 83677 0.128243125351052 47304 83677 0.565316634200557
"Pará" 2009 22253 126529 0.175872724829881 77258 126529 0.610595199519478
"Pará" 2010 23275 183825 0.126614987080103 105729 183825 0.57516115871073
"Pará" 2011 14625 142982 0.102285602383517 77731 142982 0.543641857016967
"Pará" 2012 12528 96858 0.1293439881063 58732 96858 0.606372214995147
"Pará" 2013 4804 30706 0.156451507848629 15721 30706 0.511984628411385
"Pará" 2014 1767 13722 0.128771316134674 7127 13722 0.519384929310596
"Pará" 2015 1731 11455 0.151113051069402 6095 11455 0.532082060235705
"Pará" 2016 960 18834 0.0509716470213444 9716 18834 0.515875544228523
"Pará" 2017 1122 51402 0.0218279444379596 27465 51402 0.534317730827594
"Pará" 2018 823 65738 0.0125193951747848 36668 65738 0.557790014907664
"Pará" 2019 1047 41843 0.0250221064455225 23205 41843 0.554573046865665
"Rondônia" 2007 18614 102547 0.181516767921051 65875 102547 0.642388368260407
"Rondônia" 2008 6135 58604 0.104685686983824 37515 58604 0.64014401747321
