"MUN_INFE" "year_notif" "municipio" "uf" "count_vivax" "total" "perc_vivax"
110001 2007 "Alta Floresta Doeste" "Rondônia" 214 295 0.725423728813559
110001 2008 "Alta Floresta Doeste" "Rondônia" 253 275 0.92
110001 2009 "Alta Floresta Doeste" "Rondônia" 91 96 0.947916666666667
110001 2010 "Alta Floresta Doeste" "Rondônia" 41 42 0.976190476190476
110001 2011 "Alta Floresta Doeste" "Rondônia" 16 18 0.888888888888889
110001 2012 "Alta Floresta Doeste" "Rondônia" 36 39 0.923076923076923
110001 2013 "Alta Floresta Doeste" "Rondônia" 85 89 0.955056179775281
110001 2014 "Alta Floresta Doeste" "Rondônia" 104 106 0.981132075471698
110001 2015 "Alta Floresta Doeste" "Rondônia" 38 38 1
110001 2016 "Alta Floresta Doeste" "Rondônia" 7 7 1
110001 2017 "Alta Floresta Doeste" "Rondônia" 2 2 1
110001 2018 "Alta Floresta Doeste" "Rondônia" 2 2 1
110002 2007 "Ariquemes" "Rondônia" 2126 2844 0.747538677918425
110002 2008 "Ariquemes" "Rondônia" 1518 1715 0.885131195335277
110002 2009 "Ariquemes" "Rondônia" 1263 1506 0.838645418326693
110002 2010 "Ariquemes" "Rondônia" 1515 1775 0.853521126760563
110002 2011 "Ariquemes" "Rondônia" 566 668 0.847305389221557
110002 2012 "Ariquemes" "Rondônia" 234 263 0.889733840304182
110002 2013 "Ariquemes" "Rondônia" 200 213 0.938967136150235
110002 2014 "Ariquemes" "Rondônia" 92 104 0.884615384615385
110002 2015 "Ariquemes" "Rondônia" 62 62 1
110002 2016 "Ariquemes" "Rondônia" 138 143 0.965034965034965
110002 2017 "Ariquemes" "Rondônia" 144 147 0.979591836734694
110002 2018 "Ariquemes" "Rondônia" 925 940 0.984042553191489
110002 2019 "Ariquemes" "Rondônia" 415 433 0.958429561200924
110003 2007 "Cabixi" "Rondônia" 12 12 1
110003 2009 "Cabixi" "Rondônia" 2 2 1
110003 2010 "Cabixi" "Rondônia" 6 6 1
110003 2011 "Cabixi" "Rondônia" 1 1 1
110003 2013 "Cabixi" "Rondônia" 2 2 1
110003 2016 "Cabixi" "Rondônia" 6 6 1
110003 2017 "Cabixi" "Rondônia" 2 2 1
110003 2018 "Cabixi" "Rondônia" 2 2 1
110003 2019 "Cabixi" "Rondônia" 1 1 1
110004 2007 "Cacoal" "Rondônia" 39 46 0.847826086956522
110004 2008 "Cacoal" "Rondônia" 29 32 0.90625
110004 2009 "Cacoal" "Rondônia" 24 26 0.923076923076923
110004 2010 "Cacoal" "Rondônia" 18 25 0.72
110004 2011 "Cacoal" "Rondônia" 14 14 1
110004 2012 "Cacoal" "Rondônia" 16 16 1
110004 2013 "Cacoal" "Rondônia" 6 6 1
110004 2014 "Cacoal" "Rondônia" 4 4 1
110004 2015 "Cacoal" "Rondônia" 1 1 1
110004 2016 "Cacoal" "Rondônia" 2 2 1
110004 2017 "Cacoal" "Rondônia" 4 5 0.8
110004 2019 "Cacoal" "Rondônia" 1 1 1
110005 2007 "Cerejeiras" "Rondônia" 3 8 0.375
110005 2008 "Cerejeiras" "Rondônia" 3 4 0.75
110005 2010 "Cerejeiras" "Rondônia" 2 2 1
110005 2011 "Cerejeiras" "Rondônia" 1 1 1
110005 2012 "Cerejeiras" "Rondônia" 1 1 1
110005 2013 "Cerejeiras" "Rondônia" 1 1 1
110006 2007 "Colorado do Oeste" "Rondônia" 6 7 0.857142857142857
110006 2008 "Colorado do Oeste" "Rondônia" 2 3 0.666666666666667
110006 2010 "Colorado do Oeste" "Rondônia" 2 2 1
110006 2011 "Colorado do Oeste" "Rondônia" 1 1 1
110006 2012 "Colorado do Oeste" "Rondônia" 1 1 1
110006 2013 "Colorado do Oeste" "Rondônia" 1 1 1
110006 2015 "Colorado do Oeste" "Rondônia" 1 1 1
110006 2017 "Colorado do Oeste" "Rondônia" 1 1 1
110006 2018 "Colorado do Oeste" "Rondônia" 1 1 1
