"uf" "year_notif" "count_vivax" "total" "perc_vivax"
"Acre" 2007 45652 55908 0.81655577019389
"Acre" 2008 24158 28495 0.847797859273557
"Acre" 2009 24495 28330 0.864631133074479
"Acre" 2010 35349 40856 0.865209516350108
"Acre" 2011 21598 25141 0.859074818026331
"Acre" 2012 23558 29986 0.785633295537918
"Acre" 2013 26006 36563 0.7112654869677
"Acre" 2014 23894 33537 0.712466827682858
"Acre" 2015 23552 29180 0.807128169979438
"Acre" 2016 31406 38401 0.817843285331111
"Acre" 2017 34101 42119 0.809634606709561
"Acre" 2018 25526 31539 0.809347157487555
"Acre" 2019 11183 14696 0.760955362003266
"Amapá" 2007 15521 20906 0.742418444465704
"Amapá" 2008 11802 13953 0.845839604386153
"Amapá" 2009 12500 14463 0.864274355251331
"Amapá" 2010 11749 14260 0.823913043478261
"Amapá" 2011 15154 19379 0.781980494349554
"Amapá" 2012 11387 14883 0.765101122085601
"Amapá" 2013 13301 15643 0.850284472287924
"Amapá" 2014 14055 14929 0.941456226137049
"Amapá" 2015 14185 15541 0.912746927482144
"Amapá" 2016 11855 13641 0.869071182464629
"Amapá" 2017 15225 16727 0.910205057691158
"Amapá" 2018 15633 16482 0.948489261012013
"Amapá" 2019 11020 11793 0.934452641397439
"Amazonas" 2007 196423 241475 0.813429961693757
"Amazonas" 2008 138411 164119 0.843357563719009
"Amazonas" 2009 102759 118186 0.869468464962009
"Amazonas" 2010 73700 84492 0.872271931070397
"Amazonas" 2011 62167 67568 0.920065711579446
"Amazonas" 2012 82430 91429 0.901573898872349
"Amazonas" 2013 75967 86035 0.88297785784855
"Amazonas" 2014 66373 75210 0.882502326818242
"Amazonas" 2015 78904 85650 0.921237594862814
"Amazonas" 2016 54556 58599 0.931005648560556
"Amazonas" 2017 88867 97886 0.907862207057189
"Amazonas" 2018 74027 85986 0.860919219407811
"Amazonas" 2019 65668 75482 0.869982247423227
"Maranhão" 2007 4361 6480 0.672993827160494
"Maranhão" 2008 4057 4449 0.911890312429759
"Maranhão" 2009 4371 5137 0.850885730971384
"Maranhão" 2010 2842 3259 0.872046640073642
"Maranhão" 2011 2762 2833 0.974938228026827
"Maranhão" 2012 1138 1172 0.97098976109215
"Maranhão" 2013 593 671 0.883755588673621
"Maranhão" 2014 742 760 0.976315789473684
"Maranhão" 2015 223 231 0.965367965367965
"Maranhão" 2016 170 182 0.934065934065934
"Maranhão" 2017 399 421 0.947743467933492
"Maranhão" 2018 376 378 0.994708994708995
"Maranhão" 2019 111 111 1
"Mato Grosso" 2007 7219 10164 0.710251869342778
"Mato Grosso" 2008 3768 4615 0.81646803900325
"Mato Grosso" 2009 3272 3954 0.827516439049064
"Mato Grosso" 2010 2014 2547 0.790734197094621
"Mato Grosso" 2011 1717 2104 0.81606463878327
"Mato Grosso" 2012 1320 1449 0.910973084886128
"Mato Grosso" 2013 1370 1536 0.891927083333333
"Mato Grosso" 2014 1267 1285 0.985992217898833
"Mato Grosso" 2015 1674 1689 0.991119005328597
"Mato Grosso" 2016 810 816 0.992647058823529
"Mato Grosso" 2017 753 758 0.993403693931398
"Mato Grosso" 2018 1305 1333 0.978994748687172
"Mato Grosso" 2019 2644 2997 0.882215548882216
"Pará" 2007 72538 92812 0.781558419169935
"Pará" 2008 70293 83677 0.840051627089881
"Pará" 2009 98875 126529 0.781441408688917
"Pará" 2010 154490 183825 0.840418876648987
"Pará" 2011 123618 142982 0.864570365500553
"Pará" 2012 78327 96858 0.808678684259431
"Pará" 2013 22360 30706 0.728196443691787
"Pará" 2014 11067 13722 0.806515085264539
"Pará" 2015 8655 11455 0.75556525534701
"Pará" 2016 16681 18834 0.885685462461506
"Pará" 2017 47584 51402 0.925722734523948
"Pará" 2018 62466 65738 0.9502266573367
"Pará" 2019 40230 41843 0.96145113878068
"Rondônia" 2007 78202 102547 0.762596662993554
"Rondônia" 2008 50799 58604 0.866817964644052
"Rondônia" 2009 43911 49657 0.884286203355015
"Rondônia" 2010 47493 53178 0.893094888863816
"Rondônia" 2011 34937 37160 0.940177610333692
"Rondônia" 2012 28665 29660 0.966453135536075
"Rondônia" 2013 17208 17872 0.96284691136974
"Rondônia" 2014 10646 11740 0.906814310051107
"Rondônia" 2015 7704 8467 0.909885437581198
"Rondônia" 2016 7954 8571 0.928013067320033
"Rondônia" 2017 7263 8301 0.874954824719913
"Rondônia" 2018 8744 9685 0.902839442436758
"Rondônia" 2019 10671 11788 0.905242619613166
"Roraima" 2007 12948 16837 0.769020609372216
"Roraima" 2008 9554 10913 0.875469623384954
"Roraima" 2009 14163 15347 0.922851371603571
"Roraima" 2010 19941 22124 0.901328873621407
"Roraima" 2011 11878 13272 0.894966847498493
"Roraima" 2012 6462 7029 0.919334186939821
"Roraima" 2013 5437 5843 0.930515146328941
"Roraima" 2014 6389 6786 0.94149720011789
"Roraima" 2015 7695 7881 0.976398934145413
"Roraima" 2016 6133 6653 0.92183977153164
"Roraima" 2017 13965 14203 0.98324297683588
"Roraima" 2018 21893 23362 0.937120109579659
"Roraima" 2019 23773 26158 0.908823304533986
"Tocantins" 2007 37 61 0.60655737704918
"Tocantins" 2008 11 19 0.578947368421053
"Tocantins" 2009 24 25 0.96
"Tocantins" 2010 18 21 0.857142857142857
"Tocantins" 2011 9 10 0.9
"Tocantins" 2012 6 8 0.75
"Tocantins" 2013 22 26 0.846153846153846
"Tocantins" 2014 4 4 1
"Tocantins" 2016 7 10 0.7
"Tocantins" 2017 63 64 0.984375
"Tocantins" 2018 9 9 1
"Tocantins" 2019 1 1 1
