MUN_INFE,Nome,year_notif,IPA,IPA_class
110001,Alta Floresta D'Oeste,2011,0.742942051,Baixo
110002,Ariquemes,2011,7.2949656,Baixo
110003,Cabixi,2011,0.160745861,Baixo
110004,Cacoal,2011,0.17730721,Baixo
110005,Cerejeiras,2011,0.059035362,Baixo
110006,Colorado do Oeste,2011,0.054531574,Baixo
110007,Corumbiara,2011,0.11554015,Baixo
110008,Costa Marques,2011,14.26228339,Medio
110009,Espigão D'Oeste,2011,0.725063011,Baixo
110010,Guajará-Mirim,2011,23.37005771,Medio
110011,Jaru,2011,0.655320625,Baixo
110012,Ji-Paraná,2011,0.647563542,Baixo
110013,Machadinho D'Oeste,2011,88.26305853,Alto
110014,Nova Brasilândia D'Oeste,2011,0.955590203,Baixo
110015,Ouro Preto do Oeste,2011,0.344809294,Baixo
110018,Pimenta Bueno,2011,0.500279568,Baixo
110020,Porto Velho,2011,48.47016056,Medio
110025,Presidente Médici,2011,0.726975328,Baixo
110026,Rio Crespo,2011,67.84219964,Alto
110028,Rolim de Moura,2011,0.157174011,Baixo
110029,Santa Luzia D'Oeste,2011,0.115233925,Baixo
110030,Vilhena,2011,0.064154381,Baixo
110032,São Miguel do Guaporé,2011,4.342063166,Baixo
110033,Nova Mamoré,2011,39.27753532,Medio
110034,Alvorada D'Oeste,2011,2.22556391,Baixo
110037,Alto Alegre dos Parecis,2011,0.233918129,Baixo
110040,Alto Paraíso,2011,37.03279064,Medio
110045,Buritis,2011,13.64783124,Medio
110050,Novo Horizonte do Oeste,2011,0.099166997,Baixo
110060,Cacaulândia,2011,5.378209577,Baixo
110070,Campo Novo de Rondônia,2011,37.30992319,Medio
110080,Candeias do Jamari,2011,272.5211906,Alto
110090,Castanheiras,2011,1.134108307,Baixo
110092,Chupinguaia,2011,0.704638873,Baixo
110094,Cujubim,2011,103.5606518,Alto
110100,Governador Jorge Teixeira,2011,0.3894081,Baixo
110110,Itapuã do Oeste,2011,52.98850575,Alto
110130,Mirante da Serra,2011,0.254647313,Baixo
110140,Monte Negro,2011,11.96845959,Medio
110143,Nova União,2011,1.075702568,Baixo
110146,Pimenteiras do Oeste,2011,25.66333188,Medio
110147,Primavera de Rondônia,2011,1.732101617,Baixo
110148,São Felipe D'Oeste,2011,0.168378515,Baixo
110149,São Francisco do Guaporé,2011,1.16271954,Baixo
110150,Seringueiras,2011,2.838953889,Baixo
110155,Teixeirópolis,2011,0.206953642,Baixo
110160,Theobroma,2011,3.486618922,Baixo
110170,Urupá,2011,0.85749922,Baixo
110175,Vale do Anari,2011,20.29229313,Medio
110180,Vale do Paraíso,2011,0.61850569,Baixo
120001,Acrelândia,2011,5.008216605,Baixo
120005,Assis Brasil,2011,0.645994832,Baixo
120010,Brasiléia,2011,0.228969181,Baixo
120013,Bujari,2011,1.390659404,Baixo
120017,Capixaba,2011,0.660211268,Baixo
120020,Cruzeiro do Sul,2011,174.1228181,Alto
120025,Epitaciolândia,2011,0.064960374,Baixo
120030,Feijó,2011,0.153907717,Baixo
120032,Jordão,2011,1.038575668,Baixo
120033,Mâncio Lima,2011,370.9013759,Alto
120034,Manoel Urbano,2011,0.123380629,Baixo
120035,Marechal Thaumaturgo,2011,4.086358374,Baixo
120038,Plácido de Castro,2011,11.72346417,Medio
120039,Porto Walter,2011,8.149872989,Baixo
120040,Rio Branco,2011,0.435291952,Baixo
120042,Rodrigues Alves,2011,282.4973031,Alto
120045,Senador Guiomard,2011,1.863932898,Baixo
120050,Sena Madureira,2011,0.077501356,Baixo
120060,Tarauacá,2011,17.79693804,Medio
120080,Porto Acre,2011,7.625057517,Baixo
130002,Alvarães,2011,71.92526515,Alto
130006,Amaturá,2011,1.557147306,Baixo
130008,Anamã,2011,1.71510243,Baixo
130010,Anori,2011,0.179629962,Baixo
130014,Apuí,2011,11.56826367,Medio
130020,Atalaia do Norte,2011,187.713091,Alto
130030,Autazes,2011,15.76390798,Medio
130040,Barcelos,2011,94.09715502,Alto
130060,Benjamin Constant,2011,9.709305726,Baixo
130063,Beruri,2011,15.16300227,Medio
130068,Boa Vista do Ramos,2011,0.195758564,Baixo
130070,Boca do Acre,2011,7.991975668,Baixo
130080,Borba,2011,85.42089822,Alto
130083,Caapiranga,2011,11.84706516,Medio
130090,Canutama,2011,87.19208264,Alto
