year_notif,TiposVar,Risco,PC,Var,Loadings
2011,Ambiental e Saúde,Baixo,PC1,Menor que meia cruz,0.189410015578989
2011,Ambiental e Saúde,Baixo,PC1,Com Sintomas,-0.129432116152472
2011,Ambiental e Saúde,Baixo,PC1,Área Hidrográfica,0.357721522807547
2011,Ambiental e Saúde,Baixo,PC1,Incremento de Desmatamento,-0.341193502597383
2011,Ambiental e Saúde,Baixo,PC1,Taxa de Migração Bruta,-0.465098022058298
2011,Ambiental e Saúde,Baixo,PC1,% de detecção ativa,0.332971244859854
2011,Ambiental e Saúde,Baixo,PC1,Nuvem,0.309319287686704
2011,Ambiental e Saúde,Baixo,PC1,Estabelecimento de nível de atenção básica,0.057085607979099
2011,Ambiental e Saúde,Baixo,PC1,Negativo,0.310820892689742
2011,Ambiental e Saúde,Baixo,PC1,Área desmatada,-0.424571128882282
2011,Ambiental e Saúde,Baixo,PC2,Menor que meia cruz,0.19613448221323
2011,Ambiental e Saúde,Baixo,PC2,Com Sintomas,0.00170446098313
2011,Ambiental e Saúde,Baixo,PC2,Área Hidrográfica,0.456453231011225
2011,Ambiental e Saúde,Baixo,PC2,Incremento de Desmatamento,0.558538319788116
2011,Ambiental e Saúde,Baixo,PC2,Taxa de Migração Bruta,-0.060913417603121
2011,Ambiental e Saúde,Baixo,PC2,% de detecção ativa,0.017010671866785
2011,Ambiental e Saúde,Baixo,PC2,Nuvem,0.348569183074214
2011,Ambiental e Saúde,Baixo,PC2,Estabelecimento de nível de atenção básica,0.096564713669942
2011,Ambiental e Saúde,Baixo,PC2,Negativo,0.199999994817317
2011,Ambiental e Saúde,Baixo,PC2,Área desmatada,0.516128596653805
2011,Ambiental e Saúde,Baixo,PC3,Menor que meia cruz,-0.175940853351747
2011,Ambiental e Saúde,Baixo,PC3,Com Sintomas,0.560106649959092
2011,Ambiental e Saúde,Baixo,PC3,Área Hidrográfica,0.205915009794822
2011,Ambiental e Saúde,Baixo,PC3,Incremento de Desmatamento,-0.119483835359831
