"Mun","PC","Scores","Risco","Tipo_Var","Ano","Tipo_Plasm"
110001,"PC1",0.763453443044435,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
110002,"PC1",-0.0081773429806548,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
110003,"PC1",-0.226199219864632,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
110004,"PC1",-0.164660453296348,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
110005,"PC1",-0.0119668084649972,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
110006,"PC1",-1.21112265969677,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
110007,"PC1",-1.3930894345892,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
110009,"PC1",0.55984754374969,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
110011,"PC1",0.0440842544296573,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
110012,"PC1",-0.360301870349174,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
110014,"PC1",-0.206944951658369,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
110015,"PC1",-1.59519785739823,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
110018,"PC1",-0.436178055366182,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
110025,"PC1",0.708446809501547,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
110028,"PC1",-1.55738564219461,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
110029,"PC1",-0.17415972819576,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
110030,"PC1",-2.15316885875602,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
110032,"PC1",-0.767123727483808,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
110034,"PC1",1.10052940084922,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
110037,"PC1",0.760128570615589,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
110050,"PC1",2.87723361211302,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
110060,"PC1",-0.707217283827747,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
110090,"PC1",-0.522314443840101,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
110092,"PC1",0.766550677804266,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
110100,"PC1",-0.189754620382237,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
110130,"PC1",-0.597043699639332,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
110143,"PC1",-1.47811221753913,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
110147,"PC1",-0.356410395297501,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
110148,"PC1",-1.3930894345892,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
110149,"PC1",-0.365920277257835,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
110150,"PC1",0.0557624905467893,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
110155,"PC1",-1.62499786614747,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
110160,"PC1",0.518231347473908,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
110170,"PC1",-0.468394657534218,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
110180,"PC1",4.53776626983619,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
120001,"PC1",1.01121315228395,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
120005,"PC1",-0.0213344607949577,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
120010,"PC1",-0.38281220250942,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
120013,"PC1",-0.556553997715576,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
120017,"PC1",0.80415642304411,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
120025,"PC1",-1.18099280143792,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
120030,"PC1",-1.15929182464368,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
120032,"PC1",0.727080388736261,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
120034,"PC1",-1.07346117767437,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
120035,"PC1",0.9286954849357,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
120039,"PC1",0.298095787093622,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
120040,"PC1",0.207729448157918,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
120045,"PC1",-0.177738708481557,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
120050,"PC1",-1.27171759573595,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
120080,"PC1",0.103091503723529,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
130006,"PC1",-0.239626871104492,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
130008,"PC1",-0.323800175548552,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
130010,"PC1",-1.88283031377233,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
130060,"PC1",0.0946502631847391,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
130068,"PC1",-0.307721558779152,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
130070,"PC1",-0.11563131348692,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
130115,"PC1",-0.0854461094724865,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
130130,"PC1",-0.74712501168514,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
130150,"PC1",0.222903798525325,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
130160,"PC1",0.405330493881819,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
130190,"PC1",0.0878236757896627,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
130200,"PC1",0.194880822978496,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
130210,"PC1",0.00455483368174834,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
130250,"PC1",-0.0789313724560907,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
130255,"PC1",0.243688737510974,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
130260,"PC1",0.371896466091828,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
130280,"PC1",1.00054217110547,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
130290,"PC1",-0.165285555238102,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
130300,"PC1",-0.538151801998422,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
130310,"PC1",0.374607947634868,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
130340,"PC1",-0.33011578643496,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
130400,"PC1",-0.175572368414043,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
130423,"PC1",1.61107607777992,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
130430,"PC1",0.12993048523692,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
130440,"PC1",-1.21112265969677,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
140010,"PC1",-0.630122496221069,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
140023,"PC1",-0.128743599686629,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
140060,"PC1",-1.1914209119726,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
150010,"PC1",-0.111422980065925,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
150013,"PC1",-0.745471042769365,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
150020,"PC1",-0.76569641571495,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
150034,"PC1",-1.52102269805275,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
150080,"PC1",0.0962313296357432,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
150090,"PC1",0.26051558774032,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
150095,"PC1",-0.153349173988063,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
150100,"PC1",1.20587268650762,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
150130,"PC1",1.72776977922559,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
150140,"PC1",-0.129935798318013,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
150145,"PC1",1.15270814917887,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
150150,"PC1",-0.941045814062588,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
150160,"PC1",-1.18099280143792,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
150170,"PC1",-0.476225899529264,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
150172,"PC1",0.200514661062728,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
150175,"PC1",-1.09454086104684,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
150190,"PC1",-1.28704111801356,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
150200,"PC1",0.585612534753074,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
150215,"PC1",-2.00420215262557,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
150220,"PC1",0.504832244322471,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
150230,"PC1",-0.377170668784192,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
150240,"PC1",2.3499882571087,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
150260,"PC1",-1.53090987833728,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
150275,"PC1",0.489642791813457,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
150277,"PC1",-1.29617041794568,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
150285,"PC1",0.396045719205515,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
150290,"PC1",-0.775895527278747,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
150293,"PC1",-1.18470072616109,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
150295,"PC1",0.502166918610032,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
150300,"PC1",-0.40100226992877,"Baixo","Socioeconômicas e Demográficas",2011,"Vivax"
