src;ano;casos;group
110001;2007;295;Total
110001;2008;275;Total
110001;2009;96;Total
110001;2010;42;Total
110001;2011;18;Total
110001;2012;39;Total
110001;2013;89;Total
110001;2014;106;Total
110001;2015;38;Total
110001;2016;7;Total
110001;2017;2;Total
110001;2018;2;Total
110001;2020;1;Total
110002;2007;2844;Total
110002;2008;1715;Total
110002;2009;1506;Total
110002;2010;1775;Total
110002;2011;668;Total
110002;2012;263;Total
110002;2013;213;Total
110002;2014;104;Total
110002;2015;62;Total
110002;2016;143;Total
110002;2017;147;Total
110002;2018;940;Total
110002;2019;433;Total
110002;2020;150;Total
110003;2007;12;Total
110003;2009;2;Total
110003;2010;6;Total
110003;2011;1;Total
110003;2013;2;Total
110003;2016;6;Total
110003;2017;2;Total
110003;2018;2;Total
110003;2019;1;Total
110004;2007;46;Total
110004;2008;32;Total
110004;2009;26;Total
110004;2010;25;Total
110004;2011;14;Total
110004;2012;16;Total
110004;2013;6;Total
110004;2014;4;Total
110004;2015;1;Total
110004;2016;2;Total
110004;2017;5;Total
110004;2019;1;Total
110004;2020;5;Total
110005;2007;8;Total
110005;2008;4;Total
110005;2010;2;Total
110005;2011;1;Total
110005;2012;1;Total
110005;2013;1;Total
110006;2007;7;Total
110006;2008;3;Total
110006;2010;2;Total
110006;2011;1;Total
110006;2012;1;Total
110006;2013;1;Total
110006;2015;1;Total
110006;2017;1;Total
110006;2018;1;Total
110007;2007;4;Total
110007;2008;3;Total
110007;2009;2;Total
110007;2010;4;Total
110007;2011;1;Total
110007;2012;1;Total
110007;2018;2;Total
110008;2007;563;Total
110008;2008;309;Total
110008;2009;244;Total
110008;2010;435;Total
110008;2011;201;Total
110008;2012;238;Total
110008;2013;127;Total
110008;2014;47;Total
110008;2015;62;Total
110008;2016;101;Total
110008;2017;16;Total
110008;2018;13;Total
110008;2019;120;Total
110008;2020;164;Total
110009;2007;58;Total
110009;2008;912;Total
110009;2009;1155;Total
110009;2010;1068;Total
110009;2011;21;Total
110009;2012;17;Total
110009;2013;2;Total
110009;2014;2;Total
110009;2015;4;Total
110009;2019;342;Total
110009;2020;237;Total
110010;2007;3330;Total
110010;2008;1303;Total
110010;2009;791;Total
110010;2010;1877;Total
110010;2011;980;Total
110010;2012;719;Total
110010;2013;579;Total
110010;2014;386;Total
110010;2015;582;Total
110010;2016;358;Total
110010;2017;367;Total
110010;2018;360;Total
110010;2019;558;Total
110010;2020;318;Total
110011;2007;146;Total
110011;2008;81;Total
110011;2009;62;Total
110011;2010;39;Total
110011;2011;34;Total
110011;2012;24;Total
110011;2013;21;Total
110011;2014;6;Total
110011;2015;4;Total
110011;2016;6;Total
110011;2017;6;Total
110011;2018;2;Total
110011;2019;1;Total
110012;2007;95;Total
110012;2008;63;Total
110012;2009;50;Total
110012;2010;110;Total
110012;2011;76;Total
110012;2012;40;Total
110012;2013;23;Total
110012;2014;6;Total
110012;2015;4;Total
110012;2016;6;Total
110012;2017;3;Total
110012;2018;10;Total
110012;2019;10;Total
110012;2020;1;Total
110013;2007;6784;Total
110013;2008;3743;Total
110013;2009;3825;Total
110013;2010;3740;Total
110013;2011;2805;Total
110013;2012;1747;Total
110013;2013;912;Total
110013;2014;425;Total
110013;2015;892;Total
110013;2016;1713;Total
110013;2017;1016;Total
110013;2018;422;Total
110013;2019;482;Total
110013;2020;190;Total
110014;2007;168;Total
110014;2008;28;Total
110014;2009;67;Total
