mun;ano;mes;group;n;p
110001;2007;jan;Autóctone;13;0,866666666666666696
110001;2007;jan;Importado;2;0,133333333333333331
110001;2007;fev;Autóctone;4;1,000000000000000000
110001;2007;mar;Autóctone;8;0,800000000000000044
110001;2007;mar;Importado;2;0,200000000000000011
110001;2007;abr;Autóctone;31;0,939393939393939448
110001;2007;abr;Importado;2;0,060606060606060608
110001;2007;mai;Autóctone;30;1,000000000000000000
110001;2007;jun;Autóctone;40;0,975609756097560954
110001;2007;jun;Importado;1;0,024390243902439025
110001;2007;jul;Autóctone;28;1,000000000000000000
110001;2007;ago;Autóctone;30;1,000000000000000000
110001;2007;set;Autóctone;13;0,764705882352941124
110001;2007;set;Importado;4;0,235294117647058820
110001;2007;out;Autóctone;19;0,863636363636363646
110001;2007;out;Importado;3;0,136363636363636354
110001;2007;nov;Autóctone;25;1,000000000000000000
110001;2007;dez;Autóctone;10;1,000000000000000000
110001;2008;jan;Autóctone;11;1,000000000000000000
110001;2008;fev;Autóctone;11;0,846153846153846145
110001;2008;fev;Importado;2;0,153846153846153855
110001;2008;mar;Autóctone;14;0,933333333333333348
110001;2008;mar;Importado;1;0,066666666666666666
110001;2008;abr;Autóctone;36;1,000000000000000000
110001;2008;mai;Autóctone;13;1,000000000000000000
110001;2008;jun;Autóctone;18;1,000000000000000000
110001;2008;jul;Autóctone;44;1,000000000000000000
110001;2008;ago;Autóctone;54;1,000000000000000000
110001;2008;set;Autóctone;28;1,000000000000000000
110001;2008;out;Autóctone;17;1,000000000000000000
110001;2008;nov;Autóctone;9;1,000000000000000000
110001;2008;dez;Autóctone;3;0,750000000000000000
110001;2008;dez;Importado;1;0,250000000000000000
110001;2009;jan;Autóctone;7;0,875000000000000000
110001;2009;jan;Importado;1;0,125000000000000000
110001;2009;fev;Autóctone;7;0,777777777777777790
110001;2009;fev;Importado;2;0,222222222222222210
110001;2009;mar;Autóctone;5;1,000000000000000000
110001;2009;abr;Autóctone;12;1,000000000000000000
110001;2009;mai;Autóctone;16;1,000000000000000000
110001;2009;jun;Autóctone;5;1,000000000000000000
110001;2009;jul;Autóctone;7;1,000000000000000000
110001;2009;ago;Autóctone;1;0,250000000000000000
110001;2009;ago;Importado;3;0,750000000000000000
110001;2009;set;Autóctone;6;0,599999999999999978
110001;2009;set;Importado;4;0,400000000000000022
110001;2009;out;Autóctone;8;0,888888888888888840
110001;2009;out;Importado;1;0,111111111111111105
110001;2009;nov;Autóctone;6;0,666666666666666630
110001;2009;nov;Importado;3;0,333333333333333315
110001;2009;dez;Autóctone;3;0,599999999999999978
110001;2009;dez;Importado;2;0,400000000000000022
110001;2010;jan;Autóctone;7;0,777777777777777790
110001;2010;jan;Importado;2;0,222222222222222210
110001;2010;fev;Autóctone;2;0,666666666666666630
110001;2010;fev;Importado;1;0,333333333333333315
110001;2010;mar;Autóctone;4;0,444444444444444420
110001;2010;mar;Importado;5;0,555555555555555580
110001;2010;abr;Importado;2;1,000000000000000000
110001;2010;mai;Autóctone;2;0,666666666666666630
110001;2010;mai;Importado;1;0,333333333333333315
110001;2010;jun;Autóctone;3;0,375000000000000000
110001;2010;jun;Importado;5;0,625000000000000000
110001;2010;jul;Autóctone;4;0,666666666666666630
110001;2010;jul;Importado;1;0,166666666666666657
110001;2010;jul;NA;1;0,166666666666666657
110001;2010;ago;Autóctone;1;0,111111111111111105
110001;2010;ago;Importado;8;0,888888888888888840
110001;2010;set;Autóctone;5;0,625000000000000000
110001;2010;set;Importado;2;0,250000000000000000
110001;2010;set;NA;1;0,125000000000000000
110001;2010;out;Autóctone;2;0,400000000000000022
110001;2010;out;Importado;3;0,599999999999999978
110001;2010;nov;Importado;10;1,000000000000000000
110001;2010;dez;Autóctone;3;1,000000000000000000
110001;2011;jan;Autóctone;1;0,333333333333333315
110001;2011;jan;Importado;2;0,666666666666666630
110001;2011;fev;Autóctone;1;0,142857142857142849
110001;2011;fev;Importado;6;0,857142857142857095
110001;2011;mar;Autóctone;1;1,000000000000000000
110001;2011;abr;Importado;3;1,000000000000000000
110001;2011;mai;Autóctone;2;0,400000000000000022
110001;2011;mai;Importado;1;0,200000000000000011
110001;2011;mai;NA;2;0,400000000000000022
110001;2011;jul;Importado;13;1,000000000000000000
110001;2011;ago;Autóctone;1;0,500000000000000000
110001;2011;ago;Importado;1;0,500000000000000000
110001;2011;set;Autóctone;3;0,750000000000000000
110001;2011;set;Importado;1;0,250000000000000000
110001;2011;out;Autóctone;1;0,166666666666666657
110001;2011;out;Importado;4;0,666666666666666630
110001;2011;out;NA;1;0,166666666666666657
110001;2011;nov;Autóctone;1;0,333333333333333315
110001;2011;nov;Importado;2;0,666666666666666630
110001;2011;dez;Importado;3;1,000000000000000000
110001;2012;jan;Importado;4;1,000000000000000000
110001;2012;mar;Autóctone;1;1,000000000000000000
110001;2012;abr;Importado;3;1,000000000000000000
110001;2012;jun;Autóctone;2;0,666666666666666630
110001;2012;jun;Importado;1;0,333333333333333315
110001;2012;jul;Autóctone;3;0,428571428571428548
110001;2012;jul;Importado;4;0,571428571428571397
110001;2012;ago;Autóctone;6;0,599999999999999978
110001;2012;ago;Importado;3;0,299999999999999989
110001;2012;ago;NA;1;0,100000000000000006
110001;2012;set;Autóctone;5;0,500000000000000000
110001;2012;set;Importado;5;0,500000000000000000
110001;2012;out;Autóctone;9;0,562500000000000000
110001;2012;out;Importado;4;0,250000000000000000
110001;2012;out;NA;3;0,187500000000000000
110001;2012;nov;Autóctone;3;1,000000000000000000
110001;2012;dez;Autóctone;3;0,599999999999999978
110001;2012;dez;Importado;2;0,400000000000000022
110001;2013;jan;Autóctone;7;0,699999999999999956
110001;2013;jan;Importado;3;0,299999999999999989
110001;2013;fev;Autóctone;3;1,000000000000000000
110001;2013;mar;Autóctone;2;1,000000000000000000
110001;2013;abr;Autóctone;5;0,833333333333333370
110001;2013;abr;Importado;1;0,166666666666666657
110001;2013;mai;NA;6;1,000000000000000000
110001;2013;jun;Autóctone;2;0,666666666666666630
110001;2013;jun;NA;1;0,333333333333333315
110001;2013;jul;Autóctone;2;0,333333333333333315
110001;2013;jul;NA;4;0,666666666666666630
110001;2013;ago;Autóctone;6;1,000000000000000000
