mun;ano;group;ocup;n;p
110001;2007;Autóctone;Turismo;1;3,98406374501992e-03
110001;2007;Autóctone;Outros;32;1,27490039840637e-01
110001;2007;Autóctone;Ignorado;218;8,68525896414343e-01
110001;2007;Importado;Outros;6;4,28571428571429e-01
110001;2007;Importado;Ignorado;8;5,71428571428571e-01
110001;2008;Autóctone;Agricultura;43;1,66666666666667e-01
110001;2008;Autóctone;Pecuária;4;1,55038759689922e-02
110001;2008;Autóctone;Doméstica;6;2,32558139534884e-02
110001;2008;Autóctone;Caça/Pesca;3;1,16279069767442e-02
110001;2008;Autóctone;Outros;67;2,59689922480620e-01
110001;2008;Autóctone;Ignorado;135;5,23255813953488e-01
110001;2008;Importado;Outros;2;5,00000000000000e-01
110001;2008;Importado;Ignorado;2;5,00000000000000e-01
110001;2009;Autóctone;Agricultura;52;6,26506024096386e-01
110001;2009;Autóctone;Pecuária;1;1,20481927710843e-02
110001;2009;Autóctone;Doméstica;11;1,32530120481928e-01
110001;2009;Autóctone;Caça/Pesca;2;2,40963855421687e-02
110001;2009;Autóctone;Viajante;2;2,40963855421687e-02
110001;2009;Autóctone;Outros;5;6,02409638554217e-02
110001;2009;Autóctone;Ignorado;10;1,20481927710843e-01
110001;2009;Importado;Agricultura;1;6,25000000000000e-02
110001;2009;Importado;Outros;4;2,50000000000000e-01
110001;2009;Importado;Ignorado;11;6,87500000000000e-01
110001;2010;Autóctone;Agricultura;17;5,15151515151515e-01
110001;2010;Autóctone;Pecuária;2;6,06060606060606e-02
110001;2010;Autóctone;Doméstica;4;1,21212121212121e-01
110001;2010;Autóctone;Turismo;1;3,03030303030303e-02
110001;2010;Autóctone;Outros;4;1,21212121212121e-01
110001;2010;Autóctone;Ignorado;5;1,51515151515152e-01
110001;2010;Importado;Agricultura;13;3,25000000000000e-01
110001;2010;Importado;Doméstica;1;2,50000000000000e-02
110001;2010;Importado;Turismo;3;7,50000000000000e-02
110001;2010;Importado;Construção de estradas/barragens;3;7,50000000000000e-02
110001;2010;Importado;Viajante;1;2,50000000000000e-02
110001;2010;Importado;Outros;15;3,75000000000000e-01
110001;2010;Importado;Ignorado;4;1,00000000000000e-01
110001;2010;NA;Agricultura;1;5,00000000000000e-01
110001;2010;NA;Exploração Vegetal;1;5,00000000000000e-01
110001;2011;Autóctone;Agricultura;3;2,72727272727273e-01
110001;2011;Autóctone;Pecuária;2;1,81818181818182e-01
110001;2011;Autóctone;Doméstica;3;2,72727272727273e-01
110001;2011;Autóctone;Turismo;1;9,09090909090909e-02
110001;2011;Autóctone;Outros;1;9,09090909090909e-02
110001;2011;Autóctone;Ignorado;1;9,09090909090909e-02
110001;2011;Importado;Agricultura;13;3,61111111111111e-01
110001;2011;Importado;Pecuária;2;5,55555555555556e-02
110001;2011;Importado;Doméstica;2;5,55555555555556e-02
110001;2011;Importado;Turismo;3;8,33333333333333e-02
110001;2011;Importado;Viajante;1;2,77777777777778e-02
110001;2011;Importado;Outros;14;3,88888888888889e-01
110001;2011;Importado;Ignorado;1;2,77777777777778e-02
110001;2011;NA;Agricultura;2;6,66666666666667e-01
110001;2011;NA;Outros;1;3,33333333333333e-01
110001;2012;Autóctone;Agricultura;8;2,50000000000000e-01
110001;2012;Autóctone;Pecuária;2;6,25000000000000e-02
110001;2012;Autóctone;Doméstica;2;6,25000000000000e-02
110001;2012;Autóctone;Turismo;3;9,37500000000000e-02
110001;2012;Autóctone;Garimpagem;1;3,12500000000000e-02
110001;2012;Autóctone;Construção de estradas/barragens;1;3,12500000000000e-02
110001;2012;Autóctone;Viajante;1;3,12500000000000e-02
110001;2012;Autóctone;Outros;13;4,06250000000000e-01
110001;2012;Autóctone;Ignorado;1;3,12500000000000e-02
110001;2012;Importado;Agricultura;4;1,53846153846154e-01
110001;2012;Importado;Pecuária;1;3,84615384615385e-02
110001;2012;Importado;Doméstica;1;3,84615384615385e-02
110001;2012;Importado;Exploração Vegetal;4;1,53846153846154e-01
110001;2012;Importado;Construção de estradas/barragens;1;3,84615384615385e-02
110001;2012;Importado;Mineração;1;3,84615384615385e-02
110001;2012;Importado;Viajante;2;7,69230769230769e-02
110001;2012;Importado;Outros;11;4,23076923076923e-01
110001;2012;Importado;Ignorado;1;3,84615384615385e-02
110001;2012;NA;Agricultura;1;2,50000000000000e-01
110001;2012;NA;Turismo;3;7,50000000000000e-01
110001;2013;Autóctone;Agricultura;23;2,98701298701299e-01
110001;2013;Autóctone;Pecuária;4;5,19480519480520e-02
110001;2013;Autóctone;Doméstica;9;1,16883116883117e-01
110001;2013;Autóctone;Turismo;1;1,29870129870130e-02
110001;2013;Autóctone;Caça/Pesca;6;7,79220779220779e-02
110001;2013;Autóctone;Construção de estradas/barragens;2;2,59740259740260e-02
