mun;ano;group;qtdp;n;p
110001;2007;Autóctone;<200;56;2,23107569721116e-01
110001;2007;Autóctone;200-300;47;1,87250996015936e-01
110001;2007;Autóctone;300-500;81;3,22709163346614e-01
110001;2007;Autóctone;500-10k;50;1,99203187250996e-01
110001;2007;Autóctone;10k-100k;17;6,77290836653386e-02
110001;2007;Importado;<200;3;2,14285714285714e-01
110001;2007;Importado;200-300;4;2,85714285714286e-01
110001;2007;Importado;300-500;5;3,57142857142857e-01
110001;2007;Importado;500-10k;2;1,42857142857143e-01
110001;2008;Autóctone;<200;84;3,25581395348837e-01
110001;2008;Autóctone;200-300;44;1,70542635658915e-01
110001;2008;Autóctone;300-500;52;2,01550387596899e-01
110001;2008;Autóctone;500-10k;68;2,63565891472868e-01
110001;2008;Autóctone;10k-100k;10;3,87596899224806e-02
110001;2008;Importado;<200;1;2,50000000000000e-01
110001;2008;Importado;200-300;2;5,00000000000000e-01
110001;2008;Importado;500-10k;1;2,50000000000000e-01
110001;2009;Autóctone;<200;23;2,77108433734940e-01
110001;2009;Autóctone;200-300;14;1,68674698795181e-01
110001;2009;Autóctone;300-500;38;4,57831325301205e-01
110001;2009;Autóctone;500-10k;8;9,63855421686747e-02
110001;2009;Importado;<200;3;1,87500000000000e-01
110001;2009;Importado;200-300;2;1,25000000000000e-01
110001;2009;Importado;300-500;4;2,50000000000000e-01
110001;2009;Importado;500-10k;7;4,37500000000000e-01
110001;2010;Autóctone;<200;6;1,81818181818182e-01
110001;2010;Autóctone;200-300;2;6,06060606060606e-02
110001;2010;Autóctone;300-500;12;3,63636363636364e-01
110001;2010;Autóctone;500-10k;13;3,93939393939394e-01
110001;2010;Importado;<200;2;5,00000000000000e-02
110001;2010;Importado;200-300;4;1,00000000000000e-01
110001;2010;Importado;300-500;15;3,75000000000000e-01
110001;2010;Importado;500-10k;15;3,75000000000000e-01
110001;2010;Importado;10k-100k;4;1,00000000000000e-01
110001;2010;NA;300-500;2;1,00000000000000e+00
110001;2011;Autóctone;300-500;6;5,45454545454545e-01
110001;2011;Autóctone;500-10k;4;3,63636363636364e-01
110001;2011;Autóctone;10k-100k;1;9,09090909090909e-02
110001;2011;Importado;200-300;3;8,33333333333333e-02
110001;2011;Importado;300-500;29;8,05555555555556e-01
110001;2011;Importado;500-10k;3;8,33333333333333e-02
110001;2011;Importado;10k-100k;1;2,77777777777778e-02
110001;2011;NA;300-500;2;6,66666666666667e-01
110001;2011;NA;500-10k;1;3,33333333333333e-01
110001;2012;Autóctone;200-300;3;9,37500000000000e-02
110001;2012;Autóctone;300-500;13;4,06250000000000e-01
110001;2012;Autóctone;500-10k;13;4,06250000000000e-01
110001;2012;Autóctone;10k-100k;2;6,25000000000000e-02
110001;2012;Autóctone;>100k;1;3,12500000000000e-02
110001;2012;Importado;<200;1;3,84615384615385e-02
110001;2012;Importado;200-300;3;1,15384615384615e-01
110001;2012;Importado;300-500;10;3,84615384615385e-01
110001;2012;Importado;500-10k;8;3,07692307692308e-01
110001;2012;Importado;10k-100k;4;1,53846153846154e-01
110001;2012;NA;300-500;1;2,50000000000000e-01
110001;2012;NA;500-10k;3;7,50000000000000e-01
110001;2013;Autóctone;<200;8;1,03896103896104e-01
110001;2013;Autóctone;200-300;3;3,89610389610390e-02
110001;2013;Autóctone;300-500;43;5,58441558441558e-01
110001;2013;Autóctone;500-10k;20;2,59740259740260e-01
110001;2013;Autóctone;10k-100k;2;2,59740259740260e-02
110001;2013;Autóctone;>100k;1;1,29870129870130e-02
110001;2013;Importado;300-500;4;5,71428571428571e-01
110001;2013;Importado;500-10k;3;4,28571428571429e-01
110001;2013;NA;<200;2;1,25000000000000e-01
110001;2013;NA;200-300;1;6,25000000000000e-02
110001;2013;NA;300-500;6;3,75000000000000e-01
110001;2013;NA;500-10k;7;4,37500000000000e-01
110001;2014;Autóctone;<200;11;1,15789473684211e-01
110001;2014;Autóctone;200-300;8;8,42105263157895e-02
110001;2014;Autóctone;300-500;47;4,94736842105263e-01
110001;2014;Autóctone;500-10k;27;2,84210526315789e-01
110001;2014;Autóctone;10k-100k;1;1,05263157894737e-02
110001;2014;Autóctone;NA;1;1,05263157894737e-02
110001;2014;Importado;300-500;3;7,50000000000000e-01
110001;2014;Importado;500-10k;1;2,50000000000000e-01
110001;2014;NA;300-500;3;5,00000000000000e-01
110001;2014;NA;500-10k;2;3,33333333333333e-01
110001;2014;NA;10k-100k;1;1,66666666666667e-01
110001;2015;Autóctone;<200;2;5,40540540540541e-02
110001;2015;Autóctone;200-300;1;2,70270270270270e-02
110001;2015;Autóctone;300-500;20;5,40540540540541e-01
110001;2015;Autóctone;500-10k;12;3,24324324324324e-01
110001;2015;Autóctone;10k-100k;1;2,70270270270270e-02
110001;2015;Autóctone;NA;1;2,70270270270270e-02
110001;2015;Importado;500-10k;1;1,00000000000000e+00
110001;2015;NA;300-500;6;6,00000000000000e-01
110001;2015;NA;500-10k;4;4,00000000000000e-01
110001;2016;Autóctone;<200;1;1,66666666666667e-01
110001;2016;Autóctone;200-300;1;1,66666666666667e-01
110001;2016;Autóctone;300-500;4;6,66666666666667e-01
110001;2016;Importado;200-300;2;2,85714285714286e-01
110001;2016;Importado;300-500;5;7,14285714285714e-01
110001;2016;NA;300-500;2;5,00000000000000e-01
110001;2016;NA;500-10k;2;5,00000000000000e-01
110001;2017;Autóctone;200-300;1;1,00000000000000e+00
110001;2017;Importado;<200;1;1,66666666666667e-01
110001;2017;Importado;200-300;1;1,66666666666667e-01
110001;2017;Importado;300-500;2;3,33333333333333e-01
110001;2017;Importado;500-10k;2;3,33333333333333e-01
110001;2017;NA;300-500;2;5,00000000000000e-01
110001;2017;NA;500-10k;2;5,00000000000000e-01
110001;2018;Importado;500-10k;1;1,00000000000000e+00
110001;2019;Importado;300-500;1;5,00000000000000e-01
110001;2019;Importado;500-10k;1;5,00000000000000e-01
110001;2020;Importado;300-500;2;4,00000000000000e-01
110001;2020;Importado;10k-100k;2;4,00000000000000e-01
110001;2020;Importado;NA;1;2,00000000000000e-01
110002;2007;Autóctone;<200;406;1,87789084181314e-01
110002;2007;Autóctone;200-300;329;1,52173913043478e-01
110002;2007;Autóctone;300-500;621;2,87234042553192e-01
110002;2007;Autóctone;500-10k;776;3,58926919518964e-01
110002;2007;Autóctone;10k-100k;30;1,38760407030527e-02
110002;2007;Importado;<200;839;2,31767955801105e-01
110002;2007;Importado;200-300;552;1,52486187845304e-01
110002;2007;Importado;300-500;975;2,69337016574586e-01
110002;2007;Importado;500-10k;1201;3,31767955801105e-01
110002;2007;Importado;10k-100k;50;1,38121546961326e-02
110002;2007;Importado;>100k;3;8,28729281767956e-04
110002;2007;NA;<200;1;5,00000000000000e-01
110002;2007;NA;200-300;1;5,00000000000000e-01
110002;2008;Autóctone;<200;203;1,63709677419355e-01
110002;2008;Autóctone;200-300;116;9,35483870967742e-02
110002;2008;Autóctone;300-500;382;3,08064516129032e-01
110002;2008;Autóctone;500-10k;524;4,22580645161290e-01
110002;2008;Autóctone;10k-100k;15;1,20967741935484e-02
110002;2008;Importado;<200;502;2,16940363007779e-01
110002;2008;Importado;200-300;186;8,03802938634399e-02
110002;2008;Importado;300-500;683;2,95159896283492e-01
110002;2008;Importado;500-10k;899;3,88504753673293e-01
110002;2008;Importado;10k-100k;44;1,90146931719965e-02
110002;2008;NA;<200;2;6,66666666666667e-01
110002;2008;NA;500-10k;1;3,33333333333333e-01
110002;2009;Autóctone;<200;176;1,66666666666667e-01
110002;2009;Autóctone;200-300;118;1,11742424242424e-01
110002;2009;Autóctone;300-500;300;2,84090909090909e-01
110002;2009;Autóctone;500-10k;446;4,22348484848485e-01
110002;2009;Autóctone;10k-100k;15;1,42045454545455e-02
110002;2009;Autóctone;>100k;1;9,46969696969697e-04
110002;2009;Importado;<200;400;2,21361372440509e-01
110002;2009;Importado;200-300;221;1,22302158273381e-01
110002;2009;Importado;300-500;430;2,37963475373547e-01
110002;2009;Importado;500-10k;710;3,92916436081904e-01
110002;2009;Importado;10k-100k;45;2,49031543995573e-02
110002;2009;Importado;>100k;1;5,53403431101273e-04
110002;2009;NA;<200;1;3,33333333333333e-01
110002;2009;NA;300-500;1;3,33333333333333e-01
110002;2009;NA;500-10k;1;3,33333333333333e-01
110002;2010;Autóctone;<200;162;1,27358490566038e-01
110002;2010;Autóctone;200-300;149;1,17138364779874e-01
110002;2010;Autóctone;300-500;423;3,32547169811321e-01
110002;2010;Autóctone;500-10k;514;4,04088050314465e-01
110002;2010;Autóctone;10k-100k;24;1,88679245283019e-02
110002;2010;Importado;<200;307;1,80270111567821e-01
110002;2010;Importado;200-300;186;1,09219025249560e-01
110002;2010;Importado;300-500;501;2,94186729301233e-01
110002;2010;Importado;500-10k;665;3,90487375220200e-01
110002;2010;Importado;10k-100k;44;2,58367586611861e-02
110002;2010;NA;300-500;2;5,00000000000000e-01
110002;2010;NA;500-10k;2;5,00000000000000e-01
110002;2011;Autóctone;<200;63;1,27016129032258e-01
110002;2011;Autóctone;200-300;44;8,87096774193548e-02
110002;2011;Autóctone;300-500;176;3,54838709677419e-01
110002;2011;Autóctone;500-10k;200;4,03225806451613e-01
110002;2011;Autóctone;10k-100k;13;2,62096774193548e-02
110002;2011;Importado;<200;169;1,31313131313131e-01
110002;2011;Importado;200-300;181;1,40637140637141e-01
110002;2011;Importado;300-500;392;3,04584304584305e-01
110002;2011;Importado;500-10k;505;3,92385392385392e-01
110002;2011;Importado;10k-100k;40;3,10800310800311e-02
110002;2012;Autóctone;<200;22;1,47651006711409e-01
110002;2012;Autóctone;200-300;8;5,36912751677852e-02
110002;2012;Autóctone;300-500;44;2,95302013422819e-01
110002;2012;Autóctone;500-10k;72;4,83221476510067e-01
110002;2012;Autóctone;10k-100k;2;1,34228187919463e-02
110002;2012;Autóctone;NA;1;6,71140939597315e-03
110002;2012;Importado;<200;115;1,69117647058824e-01
110002;2012;Importado;200-300;58;8,52941176470588e-02
110002;2012;Importado;300-500;189;2,77941176470588e-01
110002;2012;Importado;500-10k;300;4,41176470588235e-01
110002;2012;Importado;10k-100k;18;2,64705882352941e-02
110002;2012;NA;<200;1;3,33333333333333e-01
110002;2012;NA;500-10k;2;6,66666666666667e-01
110002;2013;Autóctone;<200;19;1,69642857142857e-01
110002;2013;Autóctone;200-300;8;7,14285714285714e-02
110002;2013;Autóctone;300-500;36;3,21428571428571e-01
110002;2013;Autóctone;500-10k;45;4,01785714285714e-01
110002;2013;Autóctone;10k-100k;3;2,67857142857143e-02
110002;2013;Autóctone;NA;1;8,92857142857143e-03
110002;2013;Importado;<200;84;1,79871520342612e-01
110002;2013;Importado;200-300;12;2,56959314775161e-02
110002;2013;Importado;300-500;162;3,46895074946467e-01
110002;2013;Importado;500-10k;198;4,23982869379015e-01
110002;2013;Importado;10k-100k;8;1,71306209850107e-02
110002;2013;Importado;>100k;3;6,42398286937901e-03
110002;2013;NA;<200;1;5,55555555555556e-02
110002;2013;NA;200-300;1;5,55555555555556e-02
110002;2013;NA;300-500;6;3,33333333333333e-01
110002;2013;NA;500-10k;10;5,55555555555556e-01
110002;2014;Autóctone;<200;12;1,50000000000000e-01
110002;2014;Autóctone;200-300;6;7,50000000000000e-02
110002;2014;Autóctone;300-500;29;3,62500000000000e-01
110002;2014;Autóctone;500-10k;31;3,87500000000000e-01
110002;2014;Autóctone;NA;2;2,50000000000000e-02
110002;2014;Importado;<200;26;1,15555555555556e-01
110002;2014;Importado;200-300;14;6,22222222222222e-02
110002;2014;Importado;300-500;64;2,84444444444444e-01
110002;2014;Importado;500-10k;114;5,06666666666667e-01
110002;2014;Importado;10k-100k;7;3,11111111111111e-02
110002;2014;NA;<200;1;5,00000000000000e-01
110002;2014;NA;300-500;1;5,00000000000000e-01
110002;2015;Autóctone;<200;5;1,19047619047619e-01
110002;2015;Autóctone;200-300;1;2,38095238095238e-02
110002;2015;Autóctone;300-500;12;2,85714285714286e-01
110002;2015;Autóctone;500-10k;23;5,47619047619048e-01
110002;2015;Autóctone;10k-100k;1;2,38095238095238e-02
110002;2015;Importado;<200;11;7,97101449275362e-02
110002;2015;Importado;200-300;12;8,69565217391304e-02
110002;2015;Importado;300-500;36;2,60869565217391e-01
110002;2015;Importado;500-10k;76;5,50724637681159e-01
110002;2015;Importado;10k-100k;3;2,17391304347826e-02
110002;2016;Autóctone;<200;13;1,11111111111111e-01
110002;2016;Autóctone;200-300;3;2,56410256410256e-02
110002;2016;Autóctone;300-500;25;2,13675213675214e-01
