mun;ano;group;raca;n;p
110001;2007;Autóctone;Ignorado;251;1,00000000000000e+00
110001;2007;Importado;Ignorado;14;1,00000000000000e+00
110001;2008;Autóctone;Ignorado;258;1,00000000000000e+00
110001;2008;Importado;Ignorado;4;1,00000000000000e+00
110001;2009;Autóctone;Ignorado;83;1,00000000000000e+00
110001;2009;Importado;Ignorado;16;1,00000000000000e+00
110001;2010;Autóctone;Ignorado;33;1,00000000000000e+00
110001;2010;Importado;Ignorado;40;1,00000000000000e+00
110001;2010;NA;Ignorado;2;1,00000000000000e+00
110001;2011;Autóctone;Branca;4;3,63636363636364e-01
110001;2011;Autóctone;Preta;1;9,09090909090909e-02
110001;2011;Autóctone;Parda;1;9,09090909090909e-02
110001;2011;Autóctone;Indígena;3;2,72727272727273e-01
110001;2011;Autóctone;Ignorado;2;1,81818181818182e-01
110001;2011;Importado;Branca;12;3,33333333333333e-01
110001;2011;Importado;Amarela;2;5,55555555555556e-02
110001;2011;Importado;Parda;14;3,88888888888889e-01
110001;2011;Importado;Ignorado;8;2,22222222222222e-01
110001;2011;NA;Branca;1;3,33333333333333e-01
110001;2011;NA;Parda;2;6,66666666666667e-01
110001;2012;Autóctone;Branca;6;1,87500000000000e-01
110001;2012;Autóctone;Preta;6;1,87500000000000e-01
110001;2012;Autóctone;Amarela;1;3,12500000000000e-02
110001;2012;Autóctone;Parda;14;4,37500000000000e-01
110001;2012;Autóctone;Indígena;5;1,56250000000000e-01
110001;2012;Importado;Branca;11;4,23076923076923e-01
110001;2012;Importado;Preta;1;3,84615384615385e-02
110001;2012;Importado;Amarela;1;3,84615384615385e-02
110001;2012;Importado;Parda;13;5,00000000000000e-01
110001;2012;NA;Parda;4;1,00000000000000e+00
110001;2013;Autóctone;Branca;9;1,16883116883117e-01
110001;2013;Autóctone;Preta;22;2,85714285714286e-01
110001;2013;Autóctone;Amarela;7;9,09090909090909e-02
110001;2013;Autóctone;Parda;13;1,68831168831169e-01
110001;2013;Autóctone;Indígena;26;3,37662337662338e-01
110001;2013;Importado;Branca;1;1,42857142857143e-01
110001;2013;Importado;Amarela;1;1,42857142857143e-01
110001;2013;Importado;Parda;5;7,14285714285714e-01
110001;2013;NA;Amarela;7;4,37500000000000e-01
110001;2013;NA;Parda;9;5,62500000000000e-01
110001;2014;Autóctone;Branca;8;8,42105263157895e-02
110001;2014;Autóctone;Preta;10;1,05263157894737e-01
110001;2014;Autóctone;Amarela;1;1,05263157894737e-02
110001;2014;Autóctone;Parda;9;9,47368421052632e-02
110001;2014;Autóctone;Indígena;67;7,05263157894737e-01
110001;2014;Importado;Branca;3;7,50000000000000e-01
110001;2014;Importado;Parda;1;2,50000000000000e-01
110001;2014;NA;Preta;1;1,66666666666667e-01
110001;2014;NA;Amarela;3;5,00000000000000e-01
110001;2014;NA;Parda;2;3,33333333333333e-01
110001;2015;Autóctone;Preta;1;2,70270270270270e-02
110001;2015;Autóctone;Parda;8;2,16216216216216e-01
110001;2015;Autóctone;Indígena;28;7,56756756756757e-01
110001;2015;Importado;Parda;1;1,00000000000000e+00
110001;2015;NA;Branca;3;3,00000000000000e-01
110001;2015;NA;Amarela;7;7,00000000000000e-01
110001;2016;Autóctone;Branca;2;3,33333333333333e-01
110001;2016;Autóctone;Preta;3;5,00000000000000e-01
110001;2016;Autóctone;Parda;1;1,66666666666667e-01
110001;2016;Importado;Branca;2;2,85714285714286e-01
110001;2016;Importado;Parda;5;7,14285714285714e-01
110001;2016;NA;Preta;1;2,50000000000000e-01
110001;2016;NA;Amarela;2;5,00000000000000e-01
110001;2016;NA;Parda;1;2,50000000000000e-01
110001;2017;Autóctone;Indígena;1;1,00000000000000e+00
110001;2017;Importado;Parda;6;1,00000000000000e+00
110001;2017;NA;Preta;1;2,50000000000000e-01
110001;2017;NA;Amarela;3;7,50000000000000e-01
110001;2018;Importado;Branca;1;1,00000000000000e+00
110001;2019;Importado;Preta;1;5,00000000000000e-01
110001;2019;Importado;Parda;1;5,00000000000000e-01
110001;2020;Importado;Branca;1;2,00000000000000e-01
110001;2020;Importado;Preta;1;2,00000000000000e-01
110001;2020;Importado;Parda;3;6,00000000000000e-01
110002;2007;Autóctone;Ignorado;2162;1,00000000000000e+00
110002;2007;Importado;Ignorado;3620;1,00000000000000e+00
110002;2007;NA;Ignorado;2;1,00000000000000e+00
110002;2008;Autóctone;Ignorado;1240;1,00000000000000e+00
110002;2008;Importado;Ignorado;2314;1,00000000000000e+00
110002;2008;NA;Ignorado;3;1,00000000000000e+00
110002;2009;Autóctone;Ignorado;1056;1,00000000000000e+00
110002;2009;Importado;Ignorado;1807;1,00000000000000e+00
110002;2009;NA;Ignorado;3;1,00000000000000e+00
110002;2010;Autóctone;Ignorado;1272;1,00000000000000e+00
110002;2010;Importado;Ignorado;1703;1,00000000000000e+00
110002;2010;NA;Ignorado;4;1,00000000000000e+00
110002;2011;Autóctone;Branca;13;2,62096774193548e-02
110002;2011;Autóctone;Parda;15;3,02419354838710e-02
110002;2011;Autóctone;Ignorado;468;9,43548387096774e-01
110002;2011;Importado;Branca;25;1,94250194250194e-02
110002;2011;Importado;Parda;48;3,72960372960373e-02
110002;2011;Importado;Ignorado;1214;9,43278943278943e-01
110002;2012;Autóctone;Branca;75;5,03355704697987e-01
110002;2012;Autóctone;Preta;11;7,38255033557047e-02
110002;2012;Autóctone;Parda;63;4,22818791946309e-01
110002;2012;Importado;Branca;349;5,13235294117647e-01
110002;2012;Importado;Preta;60;8,82352941176471e-02
110002;2012;Importado;Amarela;2;2,94117647058824e-03
110002;2012;Importado;Parda;268;3,94117647058824e-01
110002;2012;Importado;Indígena;1;1,47058823529412e-03
110002;2012;NA;Parda;3;1,00000000000000e+00
110002;2013;Autóctone;Branca;45;4,01785714285714e-01
110002;2013;Autóctone;Preta;14;1,25000000000000e-01
110002;2013;Autóctone;Parda;53;4,73214285714286e-01
110002;2013;Importado;Branca;198;4,23982869379015e-01
110002;2013;Importado;Preta;52;1,11349036402570e-01
110002;2013;Importado;Amarela;1;2,14132762312634e-03
110002;2013;Importado;Parda;216;4,62526766595289e-01
110002;2013;NA;Branca;2;1,11111111111111e-01
110002;2013;NA;Preta;3;1,66666666666667e-01
110002;2013;NA;Parda;13;7,22222222222222e-01
110002;2014;Autóctone;Branca;36;4,50000000000000e-01
110002;2014;Autóctone;Preta;8;1,00000000000000e-01
110002;2014;Autóctone;Parda;36;4,50000000000000e-01
110002;2014;Importado;Branca;135;6,00000000000000e-01
110002;2014;Importado;Preta;18;8,00000000000000e-02
110002;2014;Importado;Parda;72;3,20000000000000e-01
110002;2014;NA;Branca;2;1,00000000000000e+00
110002;2015;Autóctone;Branca;15;3,57142857142857e-01
110002;2015;Autóctone;Preta;3;7,14285714285714e-02
110002;2015;Autóctone;Parda;24;5,71428571428571e-01
110002;2015;Importado;Branca;68;4,92753623188406e-01
110002;2015;Importado;Preta;10;7,24637681159420e-02
110002;2015;Importado;Parda;60;4,34782608695652e-01
110002;2016;Autóctone;Branca;59;5,04273504273504e-01
110002;2016;Autóctone;Preta;10;8,54700854700855e-02
110002;2016;Autóctone;Parda;48;4,10256410256410e-01
110002;2016;Importado;Branca;193;5,34626038781163e-01
110002;2016;Importado;Preta;40;1,10803324099723e-01
110002;2016;Importado;Amarela;1;2,77008310249307e-03
110002;2016;Importado;Parda;127;3,51800554016621e-01
110002;2017;Autóctone;Branca;33;2,82051282051282e-01
110002;2017;Autóctone;Preta;3;2,56410256410256e-02
110002;2017;Autóctone;Parda;80;6,83760683760684e-01
110002;2017;Autóctone;Indígena;1;8,54700854700855e-03
110002;2017;Importado;Branca;60;1,18811881188119e-01
110002;2017;Importado;Preta;23;4,55445544554455e-02
110002;2017;Importado;Amarela;2;3,96039603960396e-03
110002;2017;Importado;Parda;420;8,31683168316832e-01
110002;2018;Autóctone;Branca;148;1,66666666666667e-01
110002;2018;Autóctone;Preta;32;3,60360360360360e-02
110002;2018;Autóctone;Amarela;8;9,00900900900901e-03
110002;2018;Autóctone;Parda;699;7,87162162162162e-01
110002;2018;Autóctone;Indígena;1;1,12612612612613e-03
110002;2018;Importado;Branca;85;1,37540453074434e-01
110002;2018;Importado;Preta;20;3,23624595469256e-02
110002;2018;Importado;Amarela;3;4,85436893203883e-03
110002;2018;Importado;Parda;507;8,20388349514563e-01
