mun;ano;group;sexo;n;p
110001;2007;Autóctone;Masculino;153;6,09561752988048e-01
110001;2007;Autóctone;Feminino;98;3,90438247011952e-01
110001;2007;Importado;Masculino;12;8,57142857142857e-01
110001;2007;Importado;Feminino;2;1,42857142857143e-01
110001;2008;Autóctone;Masculino;171;6,62790697674419e-01
110001;2008;Autóctone;Feminino;87;3,37209302325581e-01
110001;2008;Importado;Masculino;3;7,50000000000000e-01
110001;2008;Importado;Feminino;1;2,50000000000000e-01
110001;2009;Autóctone;Masculino;48;5,78313253012048e-01
110001;2009;Autóctone;Feminino;35;4,21686746987952e-01
110001;2009;Importado;Masculino;13;8,12500000000000e-01
110001;2009;Importado;Feminino;3;1,87500000000000e-01
110001;2010;Autóctone;Masculino;21;6,36363636363636e-01
110001;2010;Autóctone;Feminino;12;3,63636363636364e-01
110001;2010;Importado;Masculino;29;7,25000000000000e-01
110001;2010;Importado;Feminino;11;2,75000000000000e-01
110001;2010;NA;Masculino;1;5,00000000000000e-01
110001;2010;NA;Feminino;1;5,00000000000000e-01
110001;2011;Autóctone;Masculino;7;6,36363636363636e-01
110001;2011;Autóctone;Feminino;4;3,63636363636364e-01
110001;2011;Importado;Masculino;28;7,77777777777778e-01
110001;2011;Importado;Feminino;8;2,22222222222222e-01
110001;2011;NA;Masculino;2;6,66666666666667e-01
110001;2011;NA;Feminino;1;3,33333333333333e-01
110001;2012;Autóctone;Masculino;17;5,31250000000000e-01
110001;2012;Autóctone;Feminino;15;4,68750000000000e-01
110001;2012;Importado;Masculino;21;8,07692307692308e-01
110001;2012;Importado;Feminino;5;1,92307692307692e-01
110001;2012;NA;Masculino;4;1,00000000000000e+00
110001;2013;Autóctone;Masculino;52;6,75324675324675e-01
110001;2013;Autóctone;Feminino;25;3,24675324675325e-01
110001;2013;Importado;Masculino;7;1,00000000000000e+00
110001;2013;NA;Masculino;8;5,00000000000000e-01
110001;2013;NA;Feminino;8;5,00000000000000e-01
110001;2014;Autóctone;Masculino;60;6,31578947368421e-01
110001;2014;Autóctone;Feminino;35;3,68421052631579e-01
110001;2014;Importado;Masculino;3;7,50000000000000e-01
110001;2014;Importado;Feminino;1;2,50000000000000e-01
110001;2014;NA;Masculino;3;5,00000000000000e-01
110001;2014;NA;Feminino;3;5,00000000000000e-01
110001;2015;Autóctone;Masculino;18;4,86486486486487e-01
110001;2015;Autóctone;Feminino;19;5,13513513513513e-01
110001;2015;Importado;Masculino;1;1,00000000000000e+00
110001;2015;NA;Masculino;6;6,00000000000000e-01
110001;2015;NA;Feminino;4;4,00000000000000e-01
110001;2016;Autóctone;Masculino;2;3,33333333333333e-01
110001;2016;Autóctone;Feminino;4;6,66666666666667e-01
110001;2016;Importado;Masculino;4;5,71428571428571e-01
110001;2016;Importado;Feminino;3;4,28571428571429e-01
110001;2016;NA;Masculino;2;5,00000000000000e-01
110001;2016;NA;Feminino;2;5,00000000000000e-01
110001;2017;Autóctone;Masculino;1;1,00000000000000e+00
110001;2017;Importado;Masculino;4;6,66666666666667e-01
110001;2017;Importado;Feminino;2;3,33333333333333e-01
110001;2017;NA;Masculino;1;2,50000000000000e-01
110001;2017;NA;Feminino;3;7,50000000000000e-01
110001;2018;Importado;Masculino;1;1,00000000000000e+00
110001;2019;Importado;Masculino;2;1,00000000000000e+00
110001;2020;Importado;Masculino;2;4,00000000000000e-01
110001;2020;Importado;Feminino;3;6,00000000000000e-01
110002;2007;Autóctone;Masculino;1410;6,52173913043478e-01
110002;2007;Autóctone;Feminino;752;3,47826086956522e-01
110002;2007;Importado;Masculino;2687;7,42265193370166e-01
110002;2007;Importado;Feminino;933;2,57734806629834e-01
110002;2007;NA;Masculino;1;5,00000000000000e-01
110002;2007;NA;Feminino;1;5,00000000000000e-01
110002;2008;Autóctone;Masculino;782;6,30645161290323e-01
110002;2008;Autóctone;Feminino;458;3,69354838709677e-01
110002;2008;Importado;Masculino;1691;7,30769230769231e-01
110002;2008;Importado;Feminino;623;2,69230769230769e-01
110002;2008;NA;Masculino;3;1,00000000000000e+00
110002;2009;Autóctone;Masculino;683;6,46780303030303e-01
110002;2009;Autóctone;Feminino;373;3,53219696969697e-01
110002;2009;Importado;Masculino;1286;7,11676812396237e-01
110002;2009;Importado;Feminino;521;2,88323187603763e-01
110002;2009;NA;Masculino;3;1,00000000000000e+00
110002;2010;Autóctone;Masculino;804;6,32075471698113e-01
110002;2010;Autóctone;Feminino;468;3,67924528301887e-01
110002;2010;Importado;Masculino;1227;7,20493247210804e-01
110002;2010;Importado;Feminino;476;2,79506752789196e-01
110002;2010;NA;Masculino;3;7,50000000000000e-01
110002;2010;NA;Feminino;1;2,50000000000000e-01
110002;2011;Autóctone;Masculino;317;6,39112903225806e-01
110002;2011;Autóctone;Feminino;179;3,60887096774194e-01
110002;2011;Importado;Masculino;902;7,00854700854701e-01
110002;2011;Importado;Feminino;385;2,99145299145299e-01
110002;2012;Autóctone;Masculino;109;7,31543624161074e-01
110002;2012;Autóctone;Feminino;40;2,68456375838926e-01
110002;2012;Importado;Masculino;504;7,41176470588235e-01
110002;2012;Importado;Feminino;176;2,58823529411765e-01
110002;2012;NA;Masculino;3;1,00000000000000e+00
110002;2013;Autóctone;Masculino;78;6,96428571428571e-01
110002;2013;Autóctone;Feminino;34;3,03571428571429e-01
110002;2013;Importado;Masculino;345;7,38758029978587e-01
