mun;ano;group;tipo_pl;n;p
110001;2007;Autóctone;Falciparum;43;1,71314741035857e-01
110001;2007;Autóctone;Falciparum+Gametócitos de F.;11;4,38247011952191e-02
110001;2007;Autóctone;Vivax;194;7,72908366533865e-01
110001;2007;Autóctone;Gametócitos de F.;3;1,19521912350598e-02
110001;2007;Importado;Falciparum;3;2,14285714285714e-01
110001;2007;Importado;Falciparum+Gametócitos de F.;2;1,42857142857143e-01
110001;2007;Importado;Vivax;9;6,42857142857143e-01
110001;2008;Autóctone;Falciparum;11;4,26356589147287e-02
110001;2008;Autóctone;Falciparum+Gametócitos de F.;6;2,32558139534884e-02
110001;2008;Autóctone;Vivax;238;9,22480620155039e-01
110001;2008;Autóctone;Gametócitos de F.;3;1,16279069767442e-02
110001;2008;Importado;Falciparum+Gametócitos de F.;1;2,50000000000000e-01
110001;2008;Importado;Vivax;3;7,50000000000000e-01
110001;2009;Autóctone;Falciparum;2;2,40963855421687e-02
110001;2009;Autóctone;Falciparum+Gametócitos de F.;1;1,20481927710843e-02
110001;2009;Autóctone;Vivax;80;9,63855421686747e-01
110001;2009;Importado;Vivax;16;1,00000000000000e+00
110001;2010;Autóctone;Vivax;33;1,00000000000000e+00
110001;2010;Importado;Vivax;40;1,00000000000000e+00
110001;2010;NA;Vivax;2;1,00000000000000e+00
110001;2011;Autóctone;Vivax;10;9,09090909090909e-01
110001;2011;Autóctone;Falciparum+Malariae;1;9,09090909090909e-02
110001;2011;Importado;Falciparum;1;2,77777777777778e-02
110001;2011;Importado;Vivax;35;9,72222222222222e-01
110001;2011;NA;Vivax;3;1,00000000000000e+00
110001;2012;Autóctone;Falciparum;1;3,12500000000000e-02
110001;2012;Autóctone;Vivax;30;9,37500000000000e-01
110001;2012;Autóctone;Vivax+Gametócitos de F.;1;3,12500000000000e-02
110001;2012;Importado;Vivax;25;9,61538461538462e-01
110001;2012;Importado;Falciparum+Vivax;1;3,84615384615385e-02
110001;2012;NA;Vivax;4;1,00000000000000e+00
110001;2013;Autóctone;Falciparum;3;3,89610389610390e-02
110001;2013;Autóctone;Vivax;74;9,61038961038961e-01
110001;2013;Importado;Falciparum;1;1,42857142857143e-01
110001;2013;Importado;Vivax;6;8,57142857142857e-01
110001;2013;NA;Vivax;16;1,00000000000000e+00
110001;2014;Autóctone;Vivax;94;9,89473684210526e-01
110001;2014;Autóctone;Não Falciparum;1;1,05263157894737e-02
110001;2014;Importado;Vivax;4;1,00000000000000e+00
110001;2014;NA;Vivax;6;1,00000000000000e+00
110001;2015;Autóctone;Vivax;37;1,00000000000000e+00
110001;2015;Importado;Vivax;1;1,00000000000000e+00
110001;2015;NA;Vivax;10;1,00000000000000e+00
110001;2016;Autóctone;Vivax;6;1,00000000000000e+00
110001;2016;Importado;Vivax;7;1,00000000000000e+00
