origem;destino;ano;fluxos
130110;130260;2007;2459
140005;140010;2019;2384
150548;150810;2007;2384
140017;140010;2010;2223
150345;150550;2009;2187
150309;150380;2010;1795
130356;130260;2007;1694
130030;130260;2007;1600
150345;150550;2008;1490
140017;140010;2009;1361
130353;130260;2007;1294
150548;150810;2009;1272
130110;130260;2008;1260
140005;140010;2020;1251
150309;150380;2009;1206
150548;150810;2008;1203
150360;150503;2012;1196
130185;130260;2012;1181
140017;140010;2011;1154
150548;150810;2010;1152
140017;140010;2007;1137
110020;110045;2007;1136
110080;110020;2007;1133
140017;140010;2008;1107
130002;130420;2007;1097
150309;150380;2008;1065
150360;150503;2011;1053
130002;130420;2008;1033
130250;130260;2007;1026
130090;110020;2007;1025
150360;150503;2010; 991
130185;130260;2007; 974
140017;140010;2018; 953
130185;130260;2013; 919
130002;130420;2009; 918
150345;150550;2010; 918
150548;150810;2011; 900
110080;110020;2011; 851
130185;130260;2014; 846
140030;140010;2019; 837
150360;150503;2013; 830
130030;130260;2008; 828
130353;130260;2008; 827
110080;110020;2008; 800
140017;140010;2017; 754
150309;150380;2007; 751
110080;110020;2010; 733
130330;130014;2007; 727
130090;110020;2019; 723
130165;120020;2007; 722
130406;130060;2012; 716
130190;130260;2007; 698
130406;130060;2009; 690
130020;130060;2009; 671
130290;150360;2017; 653
110033;110045;2007; 634
130356;130260;2008; 629
140017;140010;2012; 624
130090;110020;2018; 614
140017;140010;2019; 603
110080;110020;2012; 588
110080;110020;2009; 584
150309;150380;2011; 582
130185;130260;2008; 580
130290;150360;2018; 568
130185;130260;2018; 560
130185;130260;2017; 556
120042;120020;2007; 554
150548;150810;2012; 545
130250;130260;2008; 544
150375;150360;2010; 537
150360;150503;2009; 536
130110;130260;2009; 529
510757;110012;2007; 525
130353;130260;2017; 523
130090;110020;2011; 522
160040;160030;2016; 517
130020;130060;2012; 514
150470;150795;2007; 509
150360;150680;2012; 501
130090;110020;2008; 497
160040;160030;2017; 497
130356;130260;2009; 494
130165;120020;2008; 491
130083;130250;2007; 486
120042;120020;2016; 478
150360;130290;2019; 475
110070;110045;2007; 468
130290;150360;2010; 467
150375;150360;2009; 466
150120;150810;2007; 464
110110;110002;2007; 460
130030;130260;2009; 459
130290;150375;2019; 459
130356;130260;2010; 459
150780;150060;2011; 459
150360;150680;2011; 452
130270;110002;2008; 451
160060;160030;2017; 451
130406;130060;2013; 446
130090;110020;2012; 445
150309;150420;2009; 445
130353;130260;2009; 444
120033;120020;2007; 443
130356;130260;2018; 441
130420;130002;2009; 440
130290;150360;2009; 437
110020;110045;2008; 434
130270;110002;2007; 434
510325;110002;2007; 431
150360;130290;2018; 430
130165;120020;2017; 425
150360;130290;2009; 425
160040;160030;2018; 424
150050;160027;2007; 423
130356;130260;2017; 422
