coduf_2019_g0;ufname_2019_g0;cod7_2019_g0;name_2019_g0;cod6_2019_g0
11;Rondônia;1100015;Alta Floresta D'Oeste;110001
11;Rondônia;1100023;Ariquemes;110002
11;Rondônia;1100031;Cabixi;110003
11;Rondônia;1100049;Cacoal;110004
11;Rondônia;1100056;Cerejeiras;110005
11;Rondônia;1100064;Colorado do Oeste;110006
11;Rondônia;1100072;Corumbiara;110007
11;Rondônia;1100080;Costa Marques;110008
11;Rondônia;1100098;Espigão D'Oeste;110009
11;Rondônia;1100106;Guajará-Mirim;110010
11;Rondônia;1100114;Jaru;110011
11;Rondônia;1100122;Ji-Paraná;110012
11;Rondônia;1100130;Machadinho D'Oeste;110013
11;Rondônia;1100148;Nova Brasilândia D'Oeste;110014
11;Rondônia;1100155;Ouro Preto do Oeste;110015
11;Rondônia;1100189;Pimenta Bueno;110018
11;Rondônia;1100205;Porto Velho;110020
11;Rondônia;1100254;Presidente Médici;110025
11;Rondônia;1100262;Rio Crespo;110026
11;Rondônia;1100288;Rolim de Moura;110028
11;Rondônia;1100296;Santa Luzia D'Oeste;110029
11;Rondônia;1100304;Vilhena;110030
11;Rondônia;1100320;São Miguel do Guaporé;110032
11;Rondônia;1100338;Nova Mamoré;110033
11;Rondônia;1100346;Alvorada D'Oeste;110034
11;Rondônia;1100379;Alto Alegre dos Parecis;110037
11;Rondônia;1100403;Alto Paraíso;110040
11;Rondônia;1100452;Buritis;110045
11;Rondônia;1100502;Novo Horizonte do Oeste;110050
11;Rondônia;1100601;Cacaulândia;110060
11;Rondônia;1100700;Campo Novo de Rondônia;110070
11;Rondônia;1100809;Candeias do Jamari;110080
11;Rondônia;1100908;Castanheiras;110090
11;Rondônia;1100924;Chupinguaia;110092
11;Rondônia;1100940;Cujubim;110094
11;Rondônia;1101005;Governador Jorge Teixeira;110100
11;Rondônia;1101104;Itapuã do Oeste;110110
11;Rondônia;1101203;Ministro Andreazza;110120
11;Rondônia;1101302;Mirante da Serra;110130
11;Rondônia;1101401;Monte Negro;110140
11;Rondônia;1101435;Nova União;110143
11;Rondônia;1101450;Parecis;110145
11;Rondônia;1101468;Pimenteiras do Oeste;110146
11;Rondônia;1101476;Primavera de Rondônia;110147
11;Rondônia;1101484;São Felipe D'Oeste;110148
11;Rondônia;1101492;São Francisco do Guaporé;110149
11;Rondônia;1101500;Seringueiras;110150
11;Rondônia;1101559;Teixeirópolis;110155
11;Rondônia;1101609;Theobroma;110160
11;Rondônia;1101708;Urupá;110170
11;Rondônia;1101757;Vale do Anari;110175
11;Rondônia;1101807;Vale do Paraíso;110180
12;Acre;1200013;Acrelândia;120001
12;Acre;1200054;Assis Brasil;120005
12;Acre;1200104;Brasiléia;120010
12;Acre;1200138;Bujari;120013
12;Acre;1200179;Capixaba;120017
12;Acre;1200203;Cruzeiro do Sul;120020
12;Acre;1200252;Epitaciolândia;120025
12;Acre;1200302;Feijó;120030
12;Acre;1200328;Jordão;120032
12;Acre;1200336;Mâncio Lima;120033
12;Acre;1200344;Manoel Urbano;120034
12;Acre;1200351;Marechal Thaumaturgo;120035
12;Acre;1200385;Plácido de Castro;120038
12;Acre;1200393;Porto Walter;120039
12;Acre;1200401;Rio Branco;120040
12;Acre;1200427;Rodrigues Alves;120042
12;Acre;1200435;Santa Rosa do Purus;120043
12;Acre;1200450;Senador Guiomard;120045
12;Acre;1200500;Sena Madureira;120050
12;Acre;1200609;Tarauacá;120060
12;Acre;1200708;Xapuri;120070
12;Acre;1200807;Porto Acre;120080
13;Amazonas;1300029;Alvarães;130002
13;Amazonas;1300060;Amaturá;130006
13;Amazonas;1300086;Anamã;130008
13;Amazonas;1300102;Anori;130010
13;Amazonas;1300144;Apuí;130014
13;Amazonas;1300201;Atalaia do Norte;130020
13;Amazonas;1300300;Autazes;130030
13;Amazonas;1300409;Barcelos;130040
13;Amazonas;1300508;Barreirinha;130050
13;Amazonas;1300607;Benjamin Constant;130060
13;Amazonas;1300631;Beruri;130063
13;Amazonas;1300680;Boa Vista do Ramos;130068
13;Amazonas;1300706;Boca do Acre;130070
13;Amazonas;1300805;Borba;130080
13;Amazonas;1300839;Caapiranga;130083
13;Amazonas;1300904;Canutama;130090
13;Amazonas;1301001;Carauari;130100
13;Amazonas;1301100;Careiro;130110
13;Amazonas;1301159;Careiro da Várzea;130115
13;Amazonas;1301209;Coari;130120
13;Amazonas;1301308;Codajás;130130
13;Amazonas;1301407;Eirunepé;130140
13;Amazonas;1301506;Envira;130150
13;Amazonas;1301605;Fonte Boa;130160
