UF;reg;ano;pop
11;Rondônia;2000;1380951,7543521
12;Acre;2000;557882,216362373
13;Amazonas;2000;2817252,08353656
14;Roraima;2000;324396,999999291
15;Pará;2000;6195964,87857974
16;Amapá;2000;477031,999999145
17;Tocantins;2000;1157690,11490749
21;Maranhão;2000;5657552,0659851
51;Mato Grosso;2000;2505244,85796263
11;Rondônia;2010;1562408,99999999
12;Acre;2010;733558,999999984
13;Amazonas;2010;3483984,99999991
14;Roraima;2010;450479,000000001
15;Pará;2010;7581051,00000035
16;Amapá;2010;669526,000000001
17;Tocantins;2010;1383445,00000005
21;Maranhão;2010;6574788,99999968
51;Mato Grosso;2010;3035121,99999972
11;Rondônia;2019;1777225
12;Acre;2019;881935
13;Amazonas;2019;4144597
14;Roraima;2019;605761
15;Pará;2019;8602865
16;Amapá;2019;845731
17;Tocantins;2019;1572866
21;Maranhão;2019;7075181
51;Mato Grosso;2019;3484466
