uf_code;ano;age_group;sexo;pop;pop_percent;cases
RO;2007;0-4;Men;77000;0,04830614805520703;3172
RO;2007;0-4;Women;72000;0,04516938519447930;2580
RO;2007;5-9;Men;82000;0,05144291091593475;3990
RO;2007;5-9;Women;86000;0,05395232120451694;3167
RO;2007;10-14;Men;80000;0,05018820577164367;5363
RO;2007;10-14;Women;79000;0,04956085319949812;4026
RO;2007;15-19;Men;81000;0,05081555834378921;6654
RO;2007;15-19;Women;79000;0,04956085319949812;3074
RO;2007;20-24;Men;75000;0,04705144291091593;6796
RO;2007;20-24;Women;80000;0,05018820577164367;2988
RO;2007;25-29;Men;57000;0,03575909661229611;5960
RO;2007;25-29;Women;73000;0,04579673776662484;2690
RO;2007;30-34;Men;66000;0,04140526976160602;4741
RO;2007;30-34;Women;65000;0,04077791718946048;2148
RO;2007;35-39;Men;59000;0,03701380175658720;4295
RO;2007;35-39;Women;58000;0,03638644918444166;1987
RO;2007;40-44;Men;59000;0,03701380175658720;3809
RO;2007;40-44;Women;55000;0,03450439146800502;1628
RO;2007;45-49;Men;39000;0,02446675031367629;2945
RO;2007;45-49;Women;41000;0,02572145545796738;1348
RO;2007;50-54;Men;35000;0,02195734002509410;2236
RO;2007;50-54;Women;35000;0,02195734002509410;913
RO;2007;55-59;Men;30000;0,01882057716436637;1379
RO;2007;55-59;Women;24000;0,01505646173149310;618
RO;2007;60-64;Men;17000;0,01066499372647428;850
RO;2007;60-64;Women;20000;0,01254705144291092;331
RO;2007;65-69;Men;13000;0,00815558343789210;497
RO;2007;65-69;Women;13000;0,00815558343789210;266
RO;2007;70+;Men;22000;0,01380175658720201;461
RO;2007;70+;Women;22000;0,01380175658720201;232
AC;2007;0-4;Men;38000;0,05475504322766571;4462
AC;2007;0-4;Women;35000;0,05043227665706052;4193
AC;2007;5-9;Men;47000;0,06772334293948126;4253
AC;2007;5-9;Women;44000;0,06340057636887608;3801
AC;2007;10-14;Men;42000;0,06051873198847262;3712
AC;2007;10-14;Women;43000;0,06195965417867435;3132
AC;2007;15-19;Men;37000;0,05331412103746398;3564
AC;2007;15-19;Women;36000;0,05187319884726225;2529
AC;2007;20-24;Men;34000;0,04899135446685879;3247
AC;2007;20-24;Women;34000;0,04899135446685879;2229
AC;2007;25-29;Men;31000;0,04466858789625360;2490
AC;2007;25-29;Women;33000;0,04755043227665706;1602
AC;2007;30-34;Men;25000;0,03602305475504323;1745
AC;2007;30-34;Women;27000;0,03890489913544669;1187
AC;2007;35-39;Men;20000;0,02881844380403458;1354
AC;2007;35-39;Women;19000;0,02737752161383285;967
AC;2007;40-44;Men;18000;0,02593659942363112;1000
AC;2007;40-44;Women;17000;0,02449567723342939;766
AC;2007;45-49;Men;13000;0,01873198847262248;763
AC;2007;45-49;Women;18000;0,02593659942363112;533
AC;2007;50-54;Men;14000;0,02017291066282421;549
AC;2007;50-54;Women;11000;0,01585014409221902;418
AC;2007;55-59;Men;8000;0,01152737752161383;412
AC;2007;55-59;Women;10000;0,01440922190201729;295
AC;2007;60-64;Men;6000;0,00864553314121038;267
AC;2007;60-64;Women;6000;0,00864553314121038;179
AC;2007;65-69;Men;5000;0,00720461095100865;201
AC;2007;65-69;Women;6000;0,00864553314121038;136
AC;2007;70+;Men;9000;0,01296829971181556;210
AC;2007;70+;Women;8000;0,01152737752161383;177
AM;2007;0-4;Men;188000;0,05513196480938416;15294
AM;2007;0-4;Women;177000;0,05190615835777126;13610
AM;2007;5-9;Men;215000;0,06304985337243402;13958
AM;2007;5-9;Women;191000;0,05601173020527860;12274
AM;2007;10-14;Men;223000;0,06539589442815250;13414
AM;2007;10-14;Women;206000;0,06041055718475073;10511
AM;2007;15-19;Men;183000;0,05366568914956012;12499
AM;2007;15-19;Women;163000;0,04780058651026393;7759
AM;2007;20-24;Men;165000;0,04838709677419355;12240
AM;2007;20-24;Women;177000;0,05190615835777126;6979
AM;2007;25-29;Men;148000;0,04340175953079179;11020
AM;2007;25-29;Women;158000;0,04633431085043988;6138
AM;2007;30-34;Men;119000;0,03489736070381232;8780
AM;2007;30-34;Women;134000;0,03929618768328446;4500
AM;2007;35-39;Men;105000;0,03079178885630499;7382
AM;2007;35-39;Women;105000;0,03079178885630499;3847
