"uf","year_notif","escolaridade","count","perc"
"Rondônia",2011,"Analfabeto",1973,5.30947255113025
"Rondônia",2011,"1ª a 4ª série incompleta do EF",7148,19.2357373519914
"Rondônia",2011,"4ª série completa do EF",3390,9.1227125941873
"Rondônia",2011,"5ª a 8ª série incompleta do EF",12041,32.4031216361679
"Rondônia",2011,"Ensino fundamental completo",6556,17.6426264800861
"Rondônia",2011,"Ensino médio incompleto",1468,3.95048439181916
"Rondônia",2011,"Ensino médio completo",1733,4.66361679224973
"Rondônia",2011,"Educação superior incompleto",994,2.67491926803014
"Rondônia",2011,"Educação superior completa",184,0.495156081808396
"Rondônia",2011,"Não se aplica",1673,4.5021528525296
"Rondônia",2012,"Analfabeto",1626,5.48213081591369
"Rondônia",2012,"1ª a 4ª série incompleta do EF",4701,15.8496291301416
"Rondônia",2012,"4ª série completa do EF",3540,11.9352663519892
"Rondônia",2012,"5ª a 8ª série incompleta do EF",7654,25.8057990559676
"Rondônia",2012,"Ensino fundamental completo",5218,17.5927174645988
"Rondônia",2012,"Ensino médio incompleto",2029,6.84086311530681
"Rondônia",2012,"Ensino médio completo",2842,9.58192852326366
"Rondônia",2012,"Educação superior incompleto",388,1.30815913688469
"Rondônia",2012,"Educação superior completa",311,1.04855023600809
"Rondônia",2012,"Não se aplica",1351,4.55495616992583
"Rondônia",2013,"Analfabeto",766,4.28603401969561
"Rondônia",2013,"1ª a 4ª série incompleta do EF",2764,15.4655326768129
"Rondônia",2013,"4ª série completa do EF",1820,10.183527305282
"Rondônia",2013,"5ª a 8ª série incompleta do EF",5069,28.3628021486124
"Rondônia",2013,"Ensino fundamental completo",2146,12.0076096687556
"Rondônia",2013,"Ensino médio incompleto",1471,8.23075201432408
"Rondônia",2013,"Ensino médio completo",2491,13.9380035810206
"Rondônia",2013,"Educação superior incompleto",264,1.47717099373321
"Rondônia",2013,"Educação superior completa",309,1.72896150402865
"Rondônia",2013,"Não se aplica",772,4.319606087735
