orig;dest;fluxo
ALTA FLORESTA D'OESTE;MACHADINHO D'OESTE;8,3875264862079
ALTA FLORESTA D'OESTE;OURO PRETO DO OESTE;10,250595018805
ALTA FLORESTA D'OESTE;PIMENTA BUENO;34,5335976333399
ALTA FLORESTA D'OESTE;ROLIM DE MOURA;16,763172347051
ALTA FLORESTA D'OESTE;VILHENA;36,3243606192804
ALTA FLORESTA D'OESTE;SÃO MIGUEL DO GUAPORÉ;64,2374942401098
ALTA FLORESTA D'OESTE;ALVORADA D'OESTE;34,5269136920217
ALTA FLORESTA D'OESTE;BURITIS;31,9683752834919
ALTA FLORESTA D'OESTE;PARECIS;52,0027866395788
ALTA FLORESTA D'OESTE;SÃO FRANCISCO DO GUAPORÉ;61,0928994726258
ALTA FLORESTA D'OESTE;COLNIZA;12,5346937727511
ALTA FLORESTA D'OESTE;COMODORO;7,3524426792488
ALTA FLORESTA D'OESTE;CUIABÁ;9,9844985198031
ALTA FLORESTA D'OESTE;LUCAS DO RIO VERDE;21,026523775134
ALTA FLORESTA D'OESTE;VÁRZEA GRANDE;18,370305385092
ALTA FLORESTA D'OESTE;OUTROS;18,1737033564285
ALTA FLORESTA D'OESTE;N�O MIGRANTE;12,0291921227577
ARIQUEMES;COLORADO DO OESTE;5,0807119547707
ARIQUEMES;GUAJARÁ-MIRIM;45,91515552431
ARIQUEMES;JARÚ;156,730740911107
ARIQUEMES;JI-PARANÁ;163,141801525653
ARIQUEMES;MACHADINHO D'OESTE;53,5117745635698
ARIQUEMES;NOVA BRASILÂNDIA D'OESTE;13,4597997944402
ARIQUEMES;OURO PRETO DO OESTE;8,4321829029701
ARIQUEMES;PORTO VELHO;187,210284369027
ARIQUEMES;RIO CRESPO;10,731695069777
ARIQUEMES;ROLIM DE MOURA;10,5392056391738
ARIQUEMES;ALTO PARAÍSO;10,6036496381626
ARIQUEMES;BURITIS;129,949361284189
ARIQUEMES;NOVO HORIZONTE DO OESTE;27,144823839218
ARIQUEMES;CACAULÂNDIA;69,1509442129297
ARIQUEMES;CAMPO NOVO DE RONDÔNIA;31,3301009539845
ARIQUEMES;CANDEIAS DO JAMARI;63,4369667720688
ARIQUEMES;CUJUBIM;104,028473683786
ARIQUEMES;GOVERNADOR JORGE TEIXEIRA;50,4899866668412
ARIQUEMES;ITAPUÃ DO OESTE;11,3862348464421
ARIQUEMES;MIRANTE DA SERRA;25,0680867514826
ARIQUEMES;MONTE NEGRO;92,1966312482701
ARIQUEMES;NOVA UNIÃO;37,4415124553679
ARIQUEMES;BRASILÉIA;13,0195435604141
ARIQUEMES;EPITACIOLÂNDIA;11,1148454290099
ARIQUEMES;RIO BRANCO;19,844031018812
ARIQUEMES;BARRA DO CORDA;20,1218631424922
ARIQUEMES;ARAPUTANGA;18,0438011301998
ARIQUEMES;BARRA DO BUGRES;15,6660609034725
ARIQUEMES;CUIABÁ;39,983844835597
ARIQUEMES;JUÍNA;54,7032708114088
ARIQUEMES;RONDONÓPOLIS;79,2428595632208
ARIQUEMES;SAPEZAL;15,6660609034725
ARIQUEMES;OUTROS;396,320668376328
ARIQUEMES;N�O MIGRANTE;49,8888828516968
ARIQUEMES;IGNORADO;39,3289771952991
ARIQUEMES;N�O SABE MUNIC�PIO;23,0428919674266
CABIXI;CEREJEIRAS;6,3961063565882
CABIXI;COLORADO DO OESTE;20,8063679764554
CABIXI;VILHENA;36,5378263865985
CABIXI;BURITIS;3,8827587570412
CABIXI;CÁCERES;6,3780157582318
CABIXI;COLNIZA;3,5735314984058
CABIXI;COTRIGUAÇU;4,3688811942366
CABIXI;SAPEZAL;18,6218346718375
CABIXI;SINOP;3,8228936649766
CABIXI;OUTROS;32,8415230431295
CABIXI;IGNORADO;12,7422502982282
CACOAL;ALTA FLORESTA D'OESTE;74,2056368847301
CACOAL;ARIQUEMES;11,845713386882
CACOAL;COLORADO DO OESTE;10,8442320995643
CACOAL;COSTA MARQUES;8,7019241942497
CACOAL;ESPIGÃO D'OESTE;58,3397648981428
CACOAL;JI-PARANÁ;30,8175378898139
CACOAL;MACHADINHO D'OESTE;144,798087258225
CACOAL;NOVA BRASILÂNDIA D'OESTE;65,8596470037772
CACOAL;OURO PRETO DO OESTE;8,9903878689954
CACOAL;PIMENTA BUENO;126,932674222338
CACOAL;PORTO VELHO;86,249836565016
CACOAL;PRESIDENTE MÉDICI;68,1474197416682
CACOAL;ROLIM DE MOURA;56,7904417631482
CACOAL;VILHENA;99,6918315855757
CACOAL;SÃO MIGUEL DO GUAPORÉ;75,9595090387726
CACOAL;BURITIS;59,5128468944892
CACOAL;MINISTRO ANDREAZZA;112,441655067933
CACOAL;SÃO FRANCISCO DO GUAPORÉ;111,473376668958
CACOAL;SERINGUEIRAS;10,6699809820755
CACOAL;RIO BRANCO;39,7827562050534
CACOAL;HUMAITÁ;20,0819753245704
CACOAL;MANAUS;9,0225685840798
CACOAL;BOA VISTA;9,0225685840798
CACOAL;BRASIL NOVO;12,8542653411658
CACOAL;RIO MARIA;10,9362654427199
CACOAL;IMPERATRIZ;18,2471126776584
CACOAL;ALTA FLORESTA;22,9734019291738
CACOAL;ARAPUTANGA;36,8982916799115
CACOAL;ARIPUANÃ;14,3280341344404
CACOAL;CUIABÁ;11,256148378181
CACOAL;CURVELÂNDIA;10,4289794195421
CACOAL;PORTO ESPERIDIÃO;22,8994099409794
CACOAL;RONDOLÂNDIA;13,0021931319967
CACOAL;RONDONÓPOLIS;11,4497049704897
CACOAL;SÃO FÉLIX DO ARAGUAIA;35,5392169415952
CACOAL;SINOP;11,4824154156849
CACOAL;SORRISO;48,0143765249934
CACOAL;VÁRZEA GRANDE;20,8387823209086
CACOAL;OUTROS;394,432948228155
CACOAL;N�O MIGRANTE;26,3868599674346
CACOAL;IGNORADO;80,9707544867837
CACOAL;N�O SABE MUNIC�PIO;11,9712355459293
CEREJEIRAS;CABIXI;24,3760260721936
CEREJEIRAS;COLORADO DO OESTE;50,6205838252632
CEREJEIRAS;CORUMBIARA;24,6900155449801
CEREJEIRAS;JARÚ;4,1306936425008
CEREJEIRAS;JI-PARANÁ;14,5817597349228
CEREJEIRAS;PORTO VELHO;14,4338352298307
CEREJEIRAS;VILHENA;79,8212613840078
CEREJEIRAS;SÃO MIGUEL DO GUAPORÉ;25,927014462128
CEREJEIRAS;BURITIS;16,908531745686
CEREJEIRAS;SÃO FRANCISCO DO GUAPORÉ;29,890273830563
CEREJEIRAS;MANAUS;18,8297733907116
CEREJEIRAS;CAMPO NOVO DO PARECIS;26,8169023423492
CEREJEIRAS;COLNIZA;4,6877178482565
CEREJEIRAS;CUIABÁ;15,4166123791266
CEREJEIRAS;TANGARÁ DA SERRA;10,8164048139822
CEREJEIRAS;UNIÃO DO SUL;10,0348991157838
CEREJEIRAS;OUTROS;130,530924727648
CEREJEIRAS;N�O MIGRANTE;23,8486654111626
CEREJEIRAS;IGNORADO;35,3397068600628
CEREJEIRAS;N�O SABE UF NEM MUNIC�PIO;4,1306936425008
COLORADO DO OESTE;CABIXI;34,2760393771573
COLORADO DO OESTE;CEREJEIRAS;34,1520756948615
COLORADO DO OESTE;CORUMBIARA;25,2587305833015
COLORADO DO OESTE;COSTA MARQUES;3,5894351162943
COLORADO DO OESTE;JI-PARANÁ;14,9353067224461
COLORADO DO OESTE;MACHADINHO D'OESTE;14,8207739002215
COLORADO DO OESTE;PIMENTA BUENO;4,9614986890906
COLORADO DO OESTE;PORTO VELHO;13,6721718701681
COLORADO DO OESTE;ROLIM DE MOURA;28,050406486081
COLORADO DO OESTE;VILHENA;92,7155653853697
COLORADO DO OESTE;SÃO MIGUEL DO GUAPORÉ;16,8284470542978
COLORADO DO OESTE;PIMENTEIRAS DO OESTE;4,6791056393535
COLORADO DO OESTE;URUPÁ;26,3602390727674
COLORADO DO OESTE;MANICORÉ;7,0640033551847
COLORADO DO OESTE;CÁCERES;12,5930406770619
