Source;Target;Weight;Weight_v
1100023;1100015;47,596962;47,5969617
1100031;1100023;11,698274;11,6982742
1100049;1100015;327,249237;327,24923657
1100049;1100023;382,41494;382,41493968
1100056;1100015;12,690655;12,69065536
1100056;1100023;48,345336;48,34533595
1100056;1100031;202,793806;202,79380577
1100056;1100049;117,421354;117,42135415
1100064;1100015;21,149552;21,14955246
1100064;1100023;57,45583;57,45583013
1100064;1100031;373,007445;373,00744502
1100064;1100049;137,733448;137,73344803
1100064;1100056;341,215533;341,21553294
1100072;1100031;15,624273;15,62427343
1100072;1100049;7,293868;7,29386818
1100072;1100056;938,70952;938,7095196
1100072;1100064;366,614955;366,61495478
1100080;1100015;8,756242;8,75624237
1100080;1100023;18,859517;18,85951752
1100080;1100049;146,054549;146,05454868
1100080;1100056;20,378319;20,37831923
1100080;1100064;111,185604;111,18560432
1100098;1100015;105,063863;105,06386287
1100098;1100023;68,099672;68,09967165
1100098;1100049;645,488453;645,48845334
1100098;1100056;33,41565;33,41564967
1100098;1100064;10,444005;10,44400494
1100098;1100080;18,828195;18,82819476
1100106;1100015;46,815518;46,81551833
1100106;1100023;156,769516;156,76951547
1100106;1100049;151,893101;151,89310131
1100106;1100056;26,551743;26,55174333
1100106;1100080;433,426107;433,4261066
1100114;1100015;63,51041;63,51040948
1100114;1100023;1103,718651;1103,71865116
1100114;1100049;232,085195;232,08519505
1100114;1100056;43,493725;43,4937253
1100114;1100064;27,54232;27,54231972
1100114;1100080;6,952868;6,95286767
1100114;1100098;18,274375;18,27437461
1100114;1100106;86,423698;86,42369816
1100122;1100015;65,624069;65,62406873
1100122;1100023;1599,396895;1599,39689468
1100122;1100031;4,277898;4,27789812
1100122;1100049;939,650088;939,6500883
1100122;1100056;81,799783;81,79978259
1100122;1100064;67,75842;67,75842041
1100122;1100080;308,876779;308,87677907
1100122;1100098;93,003917;93,00391747
1100122;1100106;141,097625;141,09762473
1100122;1100114;676,734448;676,73444818
1100130;1100023;1098,585866;1098,58586642
1100130;1100031;30,045921;30,04592104
1100130;1100049;223,918946;223,91894615
1100130;1100056;6,95031;6,95031043
1100130;1100064;44,466432;44,46643239
1100130;1100106;89,31194;89,31194014
1100130;1100114;1027,556073;1027,55607308
1100130;1100122;813,909793;813,90979301
1100148;1100015;160,103016;160,10301616
1100148;1100023;28,539891;28,53989116
1100148;1100049;240,643302;240,64330181
1100148;1100056;38,713102;38,71310168
1100148;1100106;10,680398;10,68039835
1100148;1100114;54,370136;54,37013562
1100148;1100122;194,278699;194,27869896
1100148;1100130;15,873385;15,87338451
1100155;1100015;6,907976;6,9079761
1100155;1100023;412,059814;412,05981418
1100155;1100031;2,138949;2,13894906
1100155;1100049;191,896963;191,89696271
1100155;1100064;54,855292;54,85529196
1100155;1100072;10,424771;10,42477056
1100155;1100080;148,334415;148,33441503
1100155;1100098;47,072392;47,0723916
1100155;1100106;40,52386;40,52386042
1100155;1100114;1022,385401;1022,38540056
1100155;1100122;1130,476397;1130,47639709
1100155;1100130;534,967707;534,96770748
1100155;1100148;27,682133;27,6821327
1100189;1100015;202,503253;202,50325349
1100189;1100023;171,521939;171,52193915
1100189;1100031;19,200257;19,20025732
1100189;1100049;896,393057;896,39305706
1100189;1100056;72,959973;72,9599733
1100189;1100064;77,565245;77,5652446
1100189;1100072;12,202934;12,20293365
1100189;1100080;80,104035;80,10403545
1100189;1100098;663,743757;663,74375658
1100189;1100106;37,160701;37,16070131
1100189;1100114;42,807786;42,80778644
1100189;1100122;275,829155;275,82915447
1100189;1100155;35,702361;35,7023614
1100205;1100015;71,404815;71,40481487
1100205;1100023;1759,755891;1759,75589103
1100205;1100031;35,058165;35,05816493
1100205;1100049;796,168614;796,16861361
1100205;1100056;299,16746;299,16745988
1100205;1100064;289,466448;289,46644783
1100205;1100072;10,602859;10,60285917
1100205;1100080;342,835021;342,83502063
1100205;1100098;75,316619;75,31661901
1100205;1100106;2386,952996;2386,95299607
1100205;1100114;600,126209;600,1262087
1100205;1100122;2409,492018;2409,49201774
1100205;1100130;205,618179;205,61817931
1100205;1100148;69,073939;69,07393947
1100205;1100155;490,365569;490,3655693
1100205;1100189;423,447844;423,44784419
1100254;1100015;52,411788;52,41178795
1100254;1100023;260,878266;260,87826591
1100254;1100031;4,438542;4,43854236
1100254;1100049;330,689748;330,68974757
1100254;1100056;8,145725;8,14572528
1100254;1100064;51,114487;51,11448736
1100254;1100080;99,985778;99,98577796
1100254;1100098;45,563479;45,56347849
1100254;1100114;75,677141;75,6771413
1100254;1100122;1041,688598;1041,68859798
1100254;1100130;170,660363;170,6603635
1100254;1100148;161,882091;161,88209135
1100254;1100155;79,080746;79,08074609
1100254;1100189;70,355433;70,355433
1100254;1100205;282,066635;282,06663543
1100262;1100023;189,096069;189,09606903
1100262;1100064;10,313035;10,31303472
1100262;1100098;14,166667;14,16666665
1100262;1100106;16,20653;16,20652972
1100262;1100114;36,714568;36,71456792
1100262;1100122;71,429113;71,4291129
1100262;1100130;48,633926;48,63392638
1100262;1100205;60,030132;60,03013237
1100262;1100254;31,686777;31,68677652
1100288;1100015;572,848894;572,84889424
1100288;1100023;228,002191;228,00219057
1100288;1100049;1135,556398;1135,55639761
1100288;1100056;48,276731;48,27673119
1100288;1100080;119,931813;119,93181282
1100288;1100098;210,4598;210,45979971
1100288;1100106;79,883806;79,88380563
1100288;1100114;104,295582;104,29558182
1100288;1100122;862,497749;862,49774923
1100288;1100130;73,396113;73,3961131
1100288;1100148;814,178775;814,17877477
1100288;1100155;134,14484;134,14484048
1100288;1100189;650,228783;650,22878302
1100288;1100205;585,752706;585,75270569
1100288;1100254;204,485494;204,48549396
1100296;1100015;497,863382;497,86338214
1100296;1100049;160,872275;160,87227477
1100296;1100072;22,836176;22,83617612
1100296;1100080;36,664263;36,66426278
1100296;1100098;13,338279;13,33827894
1100296;1100122;13,677642;13,67764156
1100296;1100148;14,923897;14,92389737
1100296;1100155;34,314185;34,31418542
1100296;1100189;249,951283;249,95128338
1100296;1100205;41,170207;41,17020659
1100296;1100254;11,416608;11,41660788
1100296;1100288;463,2028;463,20280027
1100304;1100015;70,424619;70,42461933
1100304;1100023;364,183601;364,18360136
1100304;1100031;447,028035;447,0280351
1100304;1100049;733,7509;733,75090006
1100304;1100056;1584,690813;1584,69081265
1100304;1100064;1869,356846;1869,35684549
1100304;1100072;191,612284;191,61228373
1100304;1100080;25,884186;25,88418586
1100304;1100098;186,893245;186,89324462
1100304;1100106;174,882654;174,8826543
1100304;1100114;161,394627;161,39462698
1100304;1100122;665,324431;665,32443058
1100304;1100130;77,706662;77,70666193
1100304;1100148;34,87092;34,87092052
1100304;1100155;215,860487;215,86048714
1100304;1100189;162,276253;162,27625296
1100304;1100205;964,377563;964,37756287
1100304;1100254;54,220557;54,22055745
1100304;1100288;419,278851;419,27885112
1100304;1100296;16,448752;16,44875186
1100320;1100015;38,175619;38,1756189
1100320;1100023;126,345915;126,34591459
1100320;1100049;1295,569124;1295,56912423
1100320;1100056;9,97466;9,9746603
1100320;1100072;1,52392;1,52392044
1100320;1100080;21,544637;21,54463672
1100320;1100098;116,084933;116,08493302
1100320;1100114;37,557837;37,55783682
1100320;1100122;467,601706;467,60170554
1100320;1100148;250,623358;250,62335814
1100320;1100155;92,376892;92,37689208
1100320;1100189;58,513158;58,51315767
1100320;1100205;154,467893;154,46789328
1100320;1100254;303,407237;303,40723723
1100320;1100288;742,846052;742,846052030001
1100320;1100296;37,817675;37,81767504
1100320;1100304;61,945562;61,94556173
