"RONDÔNIA" "ACRE" "AMAZONAS" "RORAIMA" "PARÁ" "AMAPÁ" "TOCANTINS" "MARANHÃO" "MATO GROSSO" "OUTROS" "Total"
"RONDÔNIA" 0 976.283441479736 1516.47127156439 149.312393969237 285.212756834665 17.2552950597778 137.968000843423 254.010880404475 3241.51090743477 6785.93972820696 13363.9646757974
"ACRE" 1098.16803877273 0 1080.6811551742 60.9476121648707 101.042600492209 3.4714863575242 61.9905723294832 28.3321604887323 49.2267851390051 1176.15571717987 3660.01612809862
"AMAZONAS" 1655.58692267836 879.267436718019 0 1487.68360190967 3068.95417998281 132.918893390938 14.2248226099415 462.707965468587 81.0032479124395 5765.74483915661 13548.0919098274
"RORAIMA" 159.15473235543 10.6301454120902 942.302869565266 0 256.061277533694 0 40.7664147217317 451.818442205321 10.0854578350881 927.157246101897 2797.97658573052
"PARÁ" 321.46841489559 75.8262824110811 8001.13488511128 1036.5633546048 0 7559.51939105299 3590.45144873715 7293.54378903499 1625.39662923292 16558.5538470402 46062.458042121
"AMAPÁ" 0 0 241.574587218815 23.0808966778521 2121.17005450242 0 21.5093021304213 239.152064971965 19.7605313296465 891.288404844673 3557.53584167579
"TOCANTINS" 58.8017716609084 0 19.1737890029962 61.6918815076031 4382.72900372831 31.6009259233165 0 1521.87641683479 559.465803920454 11351.5399644131 17986.8795569915
"MARANHÃO" 571.339993537031 38.5728405564762 1712.33473018405 1497.33448038783 17540.6207788192 857.710134116761 4614.82499239443 0 2495.33144054569 37138.0503024167 66466.1196929583
"MATO GROSSO" 2650.77029089499 84.7197957645223 297.947269919277 86.5659461027726 2380.26048932108 48.3538073526606 433.832332480202 591.189913388921 0 21715.3540405888 28288.9938858133
"OUTROS" 6464.7397771386 1025.3155446709 4715.12944359011 1421.47507874527 15853.2609818996 964.040193583645 10026.1958212822 14220.0980447889 23970.7666631263 853170.16471278 931831.186261605
"RETORNADO" 2115.97234242457 474.975389937867 2572.958152268 638.232683093847 7819.73931325282 779.723894083453 2258.29478222023 5424.35364566887 5608.5184636388 176437.387913168 204130.156579756
"NÃO MIGRANTE" 557.513431300624 63.7432438745549 645.386925433196 216.755379163523 735.165402063964 246.717040327096 154.412302855836 211.334982431897 652.109649367572 48818.1210123503 52301.2593691686
"IGNORADO" 238.065699741379 86.7467760666747 236.690909295533 72.3976543237909 595.746468879906 96.4885200144904 117.711993171115 441.876283485981 321.939949682162 28435.8683248196 30643.5325794807
"NÃO SABE UF NEM PAIS" 25.2425685620873 0 0 5.1991315511494 30.6926618141468 0 0 0 13.7635579109098 583.189780153155 658.087699991448
"NÃO SABE UF" 3.9512664430716 0 0 0 0 0 0 0 7.7032431650514 421.571775807252 433.226285415375
"Total" 15920.7752504054 3716.08089689192 21981.7859883271 6757.24009420222 55170.6559691249 10737.7995812627 21472.1827857762 31140.2945891734 38656.5823302408 1210176.08760903 1415729.48509443
