"RONDÔNIA" "ACRE" "AMAZONAS" "RORAIMA" "PARÁ" "AMAPÁ" "TOCANTINS" "MARANHÃO" "MATO GROSSO" "OUTROS" "Total"
"RONDÔNIA" 0 4195.43122393193 6491.11758523293 690.815733317455 1066.24513889138 49.7102557949744 327.882932360553 856.183274591706 15062.0495438023 28005.3976356935 56744.8333236167
"ACRE" 5977.8131585828 0 3707.838187731 168.411387992203 312.284198473793 7.168184028226 116.802870237217 94.0334055985637 792.632262463533 4993.74525909287 16170.7289142002
"AMAZONAS" 7369.66167893972 4707.08952510177 0 5912.7364325737 13225.2955296958 564.807476202581 277.84375082852 2370.48622266639 1103.8662312574 25959.3936910732 61491.1805383391
"RORAIMA" 534.312568565574 35.8612422278681 3287.95677912123 0 1159.0247166525 22.9255717252107 195.373988776935 1495.87113868016 61.2734626923872 4424.07908490709 11216.678553349
"PARÁ" 3384.30898003234 463.624483110021 31954.6689375205 6524.35125644463 0 30201.4243856274 18245.1083893306 36509.2559744321 9443.86179248361 87137.6089651496 223864.213164131
"AMAPÁ" 143.728397030048 0 706.50492804781 123.66004687048 9987.00339584081 0 136.314936639714 1413.73805105284 102.596674357275 5022.05818232229 17635.6046121613
"TOCANTINS" 863.506828428652 114.856652747843 136.372633729631 318.279075560416 17895.4013692705 139.760638438114 0 8222.58661643886 2830.50018074117 53508.621284224 84029.8852795792
"MARANHÃO" 3040.72420175925 156.963021265863 5017.06272224509 5142.19356013567 67844.7164855797 3542.99191725677 22144.0346494601 0 15478.2067256332 177186.944538084 299553.83782142
"MATO GROSSO" 14113.3034438975 721.400700469746 1424.5292947864 442.703428841392 8575.26485075353 154.584888719488 2866.89471481689 2974.20656328154 0 92123.8463913022 123396.734276869
"OUTROS" 37966.4912488862 5239.53011712838 26205.1866361098 7440.4612535746 62600.2191600643 4255.22971137773 46914.3716662166 74707.5785740493 116099.406688803 3863939.13681648 4245367.61187269
"RETORNADO" 7687.68902350292 2227.59975871145 11013.5057653768 1778.67289337795 27530.1342296717 2525.39316164348 8340.93264097312 19713.2670702412 19477.4175603728 640488.227473039 740782.83957691
"NÃO MIGRANTE" 3946.79901817028 915.990384100377 3953.91548212027 1212.45972016453 4433.61641369884 1012.52695782175 1277.34621422191 1495.27140897647 3954.76646870985 276341.518959127 298544.211027111
"IGNORADO" 1070.11734039526 250.511839341899 1448.47242512774 347.224337864535 2479.01146280353 483.084085918239 766.398549723826 2305.04752234985 1500.0543101576 127115.057692249 137764.979565932
"NÃO SABE UF NEM PAIS" 94.8693422653404 7.7498352231849 26.3134212004657 5.1991315511494 154.412769600039 0 53.9932525320322 28.9145481663368 114.002707280255 3688.53690174718 4173.99190956598
"NÃO SABE UF" 186.076670388148 0 0 31.4941022939956 118.278385960062 0 6.9774741852628 54.7261458365339 47.7082121447489 3005.78224653213 3451.04323734088
"Total" 86379.401900844 19036.6087833603 95373.4447983496 30138.6623605627 217380.908106957 42959.607234554 101670.276030303 152241.166516362 186068.342820899 5392939.95512102 6324188.37367321
