MUNIAT;IMIGRANTE;EMIGRANTE;POP_TOTAL;MIGRANTE;SALDO;IEM;TX_IMIG;TX_EMIG;TX_MIG
ABAETETUBA;9002,62411456542;11224,63917128;141100;20227,2632858454;-2222,01505671453;-0,109852481045691;0,00795509508949677;0,00638031475164097;0,0143354098411377
ABEL FIGUEIREDO;1813,63371921172;2034,29490360333;6780;3847,92862281505;-220,661184391605;-0,0573454463482681;0,0300043496106686;0,0267497598703794;0,0567541094810479
ABREULÂNDIA;1003,16037879364;431,989817447227;2391;1435,15019624087;571,17056134641;0,397986609932881;0,0180673282077469;0,0419556829273792;0,0600230111351261
ACARÁ;4396,64107070571;5965,84902240418;53568,9999999597;10362,4900931099;-1569,20795169847;-0,151431551451311;0,0111367563747852;0,00820743540239507;0,0193441917771802
ACORIZAL;467,059236890908;860,835073906779;5516,00000000003;1327,89431079769;-393,775837015871;-0,296541549891364;0,0156061470976573;0,0084673538232579;0,0240735009209152
ACRELÂNDIA;3743,72825973057;1983,97103424854;12538;5727,6992939791;1759,75722548203;0,307236315169665;0,0158236643344117;0,0298590545520064;0,0456827188864181
AFONSO CUNHA;1195,71974949818;961,357870040323;5905,00000000001;2157,07761953851;234,361879457859;0,108647865674857;0,0162804042343831;0,0202492760287584;0,0365296802631414
AFUÁ;2981,16286276714;5038,9644771642;35042,0000000033;8020,12733993134;-2057,80161439706;-0,256579668523652;0,0143797856205802;0,00850739930017368;0,0228871849207539
AGUIARNÓPOLIS;1746,66196580188;1080,56989072845;5162,00000000003;2827,23185653033;666,09207507343;0,235598673499272;0,0209331633229067;0,0338369230104973;0,054770086333404
ALCÂNTARA;1397,38513501262;3841,27693800319;21851,0000000001;5238,66207301581;-2443,89180299057;-0,466510679430725;0,0175794102695674;0,00639506262877037;0,0239744728983378
ALDEIAS ALTAS;3303,88570183211;2646,02967435598;23952;5949,91537618809;657,856027476135;0,11056561074951;0,0110472180793085;0,013793777980261;0,0248409960595695
ALENQUER;3233,04338758684;9413,35558339835;52625,9999999997;12646,3989709852;-6180,31219581151;-0,488701345734156;0,0178872716592529;0,00614343364038092;0,0240307052996338
ALIANÇA DO TOCANTINS;1072,4218402945;2021,25939773171;5670,99999999999;3093,68123802621;-948,837557437208;-0,306701784842763;0,0356420278210494;0,0189106302291395;0,054552658050189
