UF;SEXO;POP_TOTAL;IMIGRANTE;EMIGRANTE;MIGRANTE;SALDO;IEM;TX_IMIG;TX_EMIG;TX_MIG
ACRE;Masc;365235,000000009;16807,6938925209;17852,2328541628;34659,9267466837;-1044,53896164181;-0,0301367908038569;0,00488787571129884;0,00460188478445947;0,00948976049575831
ACRE;Fem;368324,000000005;17746,473002472;16360,2369763778;34106,7099788498;1386,23602609418;0,0406440851947846;0,00444180584930051;0,00481816905834856;0,00925997490764907
AMAPÁ;Masc;334390,999999994;43342,0835896868;18845,587501223;62187,6710909099;24496,4960884638;0,393912421204088;0,0056357938763972;0,0129614982429813;0,0185972921193785
AMAPÁ;Fem;335134,999999995;42939,2504289151;17769,9188908109;60709,1693197261;25169,3315381042;0,414588633317472;0,00530231664577295;0,0128125234394843;0,0181148400852573
AMAZONAS;Masc;1730806,00000005;84991,152887539;65428,7337316852;150419,886619224;19562,4191558538;0,130052080183882;0,00378024652859322;0,00491049562386174;0,00869074215245497
AMAZONAS;Fem;1753179,00000005;91932,0588820817;61490,2685669282;153422,32744901;30441,7903151535;0,198418253857287;0,00350735826558079;0,00524373488856981;0,00875109315415059
MARANHÃO;Masc;3313274,00000013;133205,828861407;308095,474528029;441301,303389436;-174889,645666622;-0,396304394125678;0,0092988226910306;0,00402036864024532;0,0133191913312759
MARANHÃO;Fem;3261515,00000016;135871,634484728;309862,5659807;445734,200465428;-173990,931495972;-0,390346828478257;0,00950057154361346;0,00416590555262575;0,0136664770962392
MATO GROSSO;Masc;1485586,00000004;185368,457184128;132506,103823494;317874,561007622;52862,3533606343;0,16629941443904;0,00891945022526396;0,0124778004897813;0,0213972507150453
MATO GROSSO;Fem;1549536,00000003;207877,928848287;138482,165805847;346360,094654134;69395,7630424403;0,200357270117209;0,00893700861456873;0,0134154952739583;0,022352503888527
OUTRAS UFS;Masc;84690410,0000055;4937171,64569359;4869319,90752763;9806491,55322122;67851,7381659653;0,00691906354048482;0,00574955288034065;0,00582967026100508;0,0115792231413457
OUTRAS UFS;Fem;80591023,9999908;4947497,63690963;4950954,49487055;9898452,13178018;-3456,85796091892;-0,000349232174374038;0,00614330759076981;0,00613901820742493;0,0122823257981947
PARÁ;Masc;3759214,00000007;220325,790676644;239535,614123465;459861,404800108;-19209,8234468212;-0,0417730717261896;0,00637196004599526;0,00586095366416063;0,0122329137101559
PARÁ;Fem;3821837,00000011;236855,580621478;227289,710332646;464145,290954124;9565,87028883179;0,020609646322529;0,0059471325002254;0,00619742758839456;0,01214456008862
RONDÔNIA;Masc;767252,000000011;75112,8852883351;68075,5047020146;143188,38999035;7037,38058632049;0,0491477038522102;0,0088726395893414;0,00978985851953909;0,0186624981088805
RONDÔNIA;Fem;795156,999999987;82115,8878645685;68062,347559407;150178,235423975;14053,5403051614;0,0935790746607603;0,00855961119117459;0,0103270030779544;0,018886614269129
RORAIMA;Masc;221619,999999992;30517,8300013372;13587,9476366771;44105,7776380142;16929,8823646601;0,383847270614008;0,00613119196673474;0,0137703411250511;0,0199015330917858
RORAIMA;Fem;228858,999999999;32748,757675512;12498,239096059;45246,9967715709;20250,518579453;0,447554976558722;0,00546110884695775;0,0143095782449072;0,0197706870918649
TOCANTINS;Masc;681020,999999998;95722,2414315935;89318,5030784423;185040,744510036;6403,73835315125;0,0346071800030179;0,0131153816223644;0,0140556959963927;0,0271710776187572
TOCANTINS;Fem;702424,000000006;95720,3291116476;88535,5897500808;184255,918861728;7184,7393615668;0,0389932622297928;0,0126042945215539;0,0136271438777215;0,0262314383992755
