"uf","year_notif","ocup","count"
"Rondônia",2007,"Agricultura",47459
"Rondônia",2007,"Pecuária",1144
"Rondônia",2007,"Doméstica",8800
"Rondônia",2007,"Turismo",670
"Rondônia",2007,"Garimpagem",1661
"Rondônia",2007,"Exploração Vegetal",717
"Rondônia",2007,"Caça/Pesca",712
"Rondônia",2007,"Consts. Estrada e Barragens",65
"Rondônia",2007,"Mineração",198
"Rondônia",2007,"Viajante",471
"Rondônia",2007,"Outros",31936
"Rondônia",2007,"Ignorado",8714
"Rondônia",2008,"Agricultura",17657
"Rondônia",2008,"Pecuária",620
"Rondônia",2008,"Doméstica",4917
"Rondônia",2008,"Turismo",372
"Rondônia",2008,"Garimpagem",2364
"Rondônia",2008,"Exploração Vegetal",503
"Rondônia",2008,"Caça/Pesca",433
"Rondônia",2008,"Consts. Estrada e Barragens",71
"Rondônia",2008,"Mineração",568
"Rondônia",2008,"Viajante",308
"Rondônia",2008,"Outros",26721
"Rondônia",2008,"Ignorado",4070
"Rondônia",2009,"Agricultura",14637
"Rondônia",2009,"Pecuária",420
"Rondônia",2009,"Doméstica",3700
"Rondônia",2009,"Turismo",373
"Rondônia",2009,"Garimpagem",2398
"Rondônia",2009,"Exploração Vegetal",307
"Rondônia",2009,"Caça/Pesca",406
"Rondônia",2009,"Consts. Estrada e Barragens",483
"Rondônia",2009,"Mineração",736
"Rondônia",2009,"Viajante",273
"Rondônia",2009,"Outros",22451
"Rondônia",2009,"Ignorado",3473
"Rondônia",2010,"Agricultura",13759
"Rondônia",2010,"Pecuária",496
"Rondônia",2010,"Doméstica",8120
"Rondônia",2010,"Turismo",2576
"Rondônia",2010,"Garimpagem",1770
"Rondônia",2010,"Exploração Vegetal",599
"Rondônia",2010,"Caça/Pesca",1104
"Rondônia",2010,"Consts. Estrada e Barragens",2045
"Rondônia",2010,"Mineração",502
"Rondônia",2010,"Viajante",303
"Rondônia",2010,"Outros",17380
"Rondônia",2010,"Ignorado",4524
"Rondônia",2011,"Agricultura",9227
"Rondônia",2011,"Pecuária",481
"Rondônia",2011,"Doméstica",7717
"Rondônia",2011,"Turismo",1598
"Rondônia",2011,"Garimpagem",514
"Rondônia",2011,"Exploração Vegetal",501
"Rondônia",2011,"Caça/Pesca",629
"Rondônia",2011,"Consts. Estrada e Barragens",1487
"Rondônia",2011,"Mineração",254
"Rondônia",2011,"Viajante",273
"Rondônia",2011,"Outros",13683
"Rondônia",2011,"Ignorado",796
"Rondônia",2012,"Agricultura",5170
"Rondônia",2012,"Pecuária",324
"Rondônia",2012,"Doméstica",7427
"Rondônia",2012,"Turismo",1217
