"uf" "year_notif" "cruzes" "count" "perc"
"Rondônia" 2007 "menor que meia cruz" 23665 23.0772231269564
"Rondônia" 2007 "meia cruz" 14296 13.9409246491853
"Rondônia" 2007 "uma cruz" 28123 27.4244980350473
"Rondônia" 2007 "duas cruzes)" 33713 32.8756570158074
"Rondônia" 2007 "três cruzes" 2654 2.58808156260056
"Rondônia" 2007 "quatro cruzes" 96 0.0936156104030347
"Rondônia" 2008 "menor que meia cruz" 12690 21.6538120264828
"Rondônia" 2008 "meia cruz" 7199 12.2841444270016
"Rondônia" 2008 "uma cruz" 16407 27.9963824994881
"Rondônia" 2008 "duas cruzes)" 20388 34.7894341683162
"Rondônia" 2008 "três cruzes" 1863 3.17896389324961
"Rondônia" 2008 "quatro cruzes" 57 0.0972629854617432
"Rondônia" 2009 "menor que meia cruz" 10256 20.6536842741205
"Rondônia" 2009 "meia cruz" 6273 12.6326600479288
"Rondônia" 2009 "uma cruz" 14247 28.6908190184667
"Rondônia" 2009 "duas cruzes)" 17342 34.9235757295044
"Rondônia" 2009 "três cruzes" 1485 2.99051493243651
"Rondônia" 2009 "quatro cruzes" 54 0.108745997543146
"Rondônia" 2010 "menor que meia cruz" 9933 18.6787769378314
"Rondônia" 2010 "meia cruz" 6378 11.9936815976532
"Rondônia" 2010 "uma cruz" 14650 27.5489864229569
"Rondônia" 2010 "duas cruzes)" 20375 38.3147166121328
"Rondônia" 2010 "três cruzes" 1787 3.36041220053406
"Rondônia" 2010 "quatro cruzes" 55 0.103426228891647
"Rondônia" 2011 "menor que meia cruz" 7030 18.9181916038751
"Rondônia" 2011 "meia cruz" 4526 12.1797631862217
"Rondônia" 2011 "uma cruz" 9961 26.8057050592034
"Rondônia" 2011 "duas cruzes)" 14347 38.6087190527449
"Rondônia" 2011 "três cruzes" 1252 3.36921420882669
"Rondônia" 2011 "quatro cruzes" 44 0.118406889128095
"Rondônia" 2012 "menor que meia cruz" 5456 18.3951449763992
"Rondônia" 2012 "meia cruz" 3716 12.5286581254214
"Rondônia" 2012 "uma cruz" 7540 25.4214430209036
"Rondônia" 2012 "duas cruzes)" 11861 39.9898853674983
"Rondônia" 2012 "três cruzes" 1072 3.61429534726905
"Rondônia" 2012 "quatro cruzes" 15 0.0505731625084289
"Rondônia" 2013 "menor que meia cruz" 3109 17.3959265890779
"Rondônia" 2013 "meia cruz" 1984 11.101163831692
"Rondônia" 2013 "uma cruz" 4408 24.6642793196061
"Rondônia" 2013 "duas cruzes)" 7667 42.8995076096688
"Rondônia" 2013 "três cruzes" 696 3.89435989256938
"Rondônia" 2013 "quatro cruzes" 8 0.044762757385855
"Rondônia" 2014 "menor que meia cruz" 2306 19.6422487223169
"Rondônia" 2014 "meia cruz" 1257 10.7069846678024
"Rondônia" 2014 "uma cruz" 3006 25.6047700170358
"Rondônia" 2014 "duas cruzes)" 4728 40.2725724020443
"Rondônia" 2014 "três cruzes" 433 3.68824531516184
"Rondônia" 2014 "quatro cruzes" 10 0.0851788756388416
"Rondônia" 2015 "menor que meia cruz" 1481 17.4914373449864
"Rondônia" 2015 "meia cruz" 841 9.93267981575529
"Rondônia" 2015 "uma cruz" 2171 25.6407228061887
"Rondônia" 2015 "duas cruzes)" 3684 43.5100980276367
"Rondônia" 2015 "três cruzes" 281 3.31876697767804
"Rondônia" 2015 "quatro cruzes" 9 0.106295027754813
"Rondônia" 2016 "menor que meia cruz" 1498 17.4775405436939
"Rondônia" 2016 "meia cruz" 848 9.89382802473457
"Rondônia" 2016 "uma cruz" 2181 25.4462723136157
"Rondônia" 2016 "duas cruzes)" 3813 44.4872243612181
"Rondônia" 2016 "três cruzes" 229 2.6718002566795
"Rondônia" 2016 "quatro cruzes" 2 0.0233345000583363
"Rondônia" 2017 "menor que meia cruz" 1646 19.8289362727382
"Rondônia" 2017 "meia cruz" 779 9.38441151668474
"Rondônia" 2017 "uma cruz" 2132 25.6836525719793
"Rondônia" 2017 "duas cruzes)" 3444 41.4889772316588
"Rondônia" 2017 "três cruzes" 290 3.49355499337429
"Rondônia" 2017 "quatro cruzes" 10 0.120467413564631
"Rondônia" 2018 "menor que meia cruz" 1861 19.2152813629324
"Rondônia" 2018 "meia cruz" 1039 10.7279297883325
"Rondônia" 2018 "uma cruz" 2555 26.3810015487868
"Rondônia" 2018 "duas cruzes)" 3857 39.8244708311822
"Rondônia" 2018 "três cruzes" 362 3.73773877129582
"Rondônia" 2018 "quatro cruzes" 11 0.113577697470315
"Rondônia" 2019 "menor que meia cruz" 2316 19.6470987444859
"Rondônia" 2019 "meia cruz" 1239 10.5106888361045
"Rondônia" 2019 "uma cruz" 3093 26.2385476756023
"Rondônia" 2019 "duas cruzes)" 4685 39.743807261622
"Rondônia" 2019 "três cruzes" 433 3.67322701051917
"Rondônia" 2019 "quatro cruzes" 22 0.186630471666101
"Acre" 2007 "menor que meia cruz" 17496 31.2942691564713
"Acre" 2007 "meia cruz" 14881 26.6169421191958
"Acre" 2007 "uma cruz" 11946 21.3672461901696
"Acre" 2007 "duas cruzes)" 10972 19.6250983759033
"Acre" 2007 "três cruzes" 591 1.05709379695214
"Acre" 2007 "quatro cruzes" 22 0.0393503613078629
"Acre" 2008 "menor que meia cruz" 9128 32.0336901210739
"Acre" 2008 "meia cruz" 7312 25.660642217933
"Acre" 2008 "uma cruz" 5778 20.2772416213371
"Acre" 2008 "duas cruzes)" 5925 20.7931216002807
"Acre" 2008 "três cruzes" 336 1.17915423758554
"Acre" 2008 "quatro cruzes" 16 0.0561502017897877
"Acre" 2009 "menor que meia cruz" 8537 30.1341334274621
"Acre" 2009 "meia cruz" 7401 26.1242499117543
"Acre" 2009 "uma cruz" 5609 19.7987998588069
"Acre" 2009 "duas cruzes)" 6425 22.6791387222026
"Acre" 2009 "três cruzes" 332 1.17190257677374
"Acre" 2009 "quatro cruzes" 26 0.091775503000353
"Acre" 2010 "menor que meia cruz" 13363 32.7075582533777
"Acre" 2010 "meia cruz" 10229 25.0367143136871
"Acre" 2010 "uma cruz" 8229 20.1414724887409
"Acre" 2010 "duas cruzes)" 8570 20.9761112198943
"Acre" 2010 "três cruzes" 450 1.10142941061288
"Acre" 2010 "quatro cruzes" 15 0.0367143136870961
"Acre" 2011 "menor que meia cruz" 8727 34.7122230619307
"Acre" 2011 "meia cruz" 6100 24.2631558012808
"Acre" 2011 "uma cruz" 4899 19.4860984049958
"Acre" 2011 "duas cruzes)" 5203 20.6952786285351
"Acre" 2011 "três cruzes" 201 0.799490871484826
"Acre" 2011 "quatro cruzes" 11 0.0437532317728014
"Acre" 2012 "menor que meia cruz" 10848 36.1768825451878
"Acre" 2012 "meia cruz" 8469 28.243180150737
"Acre" 2012 "uma cruz" 5398 18.0017341425999
"Acre" 2012 "duas cruzes)" 5033 16.7844994330688
