"uf" "MUN_INFE" "municipio" "year_notif" "Pop" "count" "txinc"
"Rondônia" 110001 "Alta Floresta Doeste" 2007 23857 295 12.3653435050509
"Rondônia" 110001 "Alta Floresta Doeste" 2008 24577 275 11.1893233511006
"Rondônia" 110001 "Alta Floresta Doeste" 2009 24354 96 3.94185760039419
"Rondônia" 110001 "Alta Floresta Doeste" 2010 24392 42 1.72187602492621
"Rondônia" 110001 "Alta Floresta Doeste" 2011 24228 18 0.742942050520059
"Rondônia" 110001 "Alta Floresta Doeste" 2012 24069 39 1.62034151813536
"Rondônia" 110001 "Alta Floresta Doeste" 2013 25728 89 3.45926616915423
"Rondônia" 110001 "Alta Floresta Doeste" 2014 25652 106 4.13223140495868
"Rondônia" 110001 "Alta Floresta Doeste" 2015 25578 38 1.48565173195715
"Rondônia" 110001 "Alta Floresta Doeste" 2016 25506 7 0.274445228573669
"Rondônia" 110001 "Alta Floresta Doeste" 2017 25437 2 0.0786256240908912
"Rondônia" 110001 "Alta Floresta Doeste" 2018 23167 2 0.086329693097941
"Rondônia" 110002 "Ariquemes" 2007 82388 2844 34.5195902315871
"Rondônia" 110002 "Ariquemes" 2008 84581 1715 20.2764214185219
"Rondônia" 110002 "Ariquemes" 2009 85541 1506 17.6055926397868
"Rondônia" 110002 "Ariquemes" 2010 90353 1775 19.6451695018428
"Rondônia" 110002 "Ariquemes" 2011 91570 668 7.29496560008737
"Rondônia" 110002 "Ariquemes" 2012 92747 263 2.8356712346491
"Rondônia" 110002 "Ariquemes" 2013 101269 213 2.10330900867985
"Rondônia" 110002 "Ariquemes" 2014 102860 208 2.02216605094303
"Rondônia" 110002 "Ariquemes" 2015 104401 124 1.18772808689572
"Rondônia" 110002 "Ariquemes" 2016 105896 286 2.70076301276724
"Rondônia" 110002 "Ariquemes" 2017 107345 294 2.73883273557222
"Rondônia" 110002 "Ariquemes" 2018 106168 940 8.85389194484214
"Rondônia" 110002 "Ariquemes" 2019 107863 433 4.01435153852572
"Rondônia" 110003 "Cabixi" 2007 6575 12 1.82509505703422
"Rondônia" 110003 "Cabixi" 2009 6695 2 0.298730395817774
"Rondônia" 110003 "Cabixi" 2010 6313 6 0.95041976873119
"Rondônia" 110003 "Cabixi" 2011 6221 1 0.160745860794085
"Rondônia" 110003 "Cabixi" 2013 6495 2 0.307929176289453
"Rondônia" 110003 "Cabixi" 2016 6289 12 1.90809349658133
"Rondônia" 110003 "Cabixi" 2017 6224 4 0.6426735218509
"Rondônia" 110003 "Cabixi" 2018 5438 2 0.367782272894446
"Rondônia" 110003 "Cabixi" 2019 5312 1 0.188253012048193
"Rondônia" 110004 "Cacoal" 2007 76155 46 0.604031252051737
"Rondônia" 110004 "Cacoal" 2008 78263 32 0.40887775832769
"Rondônia" 110004 "Cacoal" 2009 78675 26 0.330473466793772
"Rondônia" 110004 "Cacoal" 2010 78574 25 0.318171405299463
"Rondônia" 110004 "Cacoal" 2011 78959 14 0.17730721007105
"Rondônia" 110004 "Cacoal" 2012 79330 16 0.201689146602798
"Rondônia" 110004 "Cacoal" 2013 85863 6 0.0698787603507914
"Rondônia" 110004 "Cacoal" 2014 86556 8 0.0924257128333102
"Rondônia" 110004 "Cacoal" 2015 87226 2 0.0229289432050077
"Rondônia" 110004 "Cacoal" 2016 87877 4 0.0455181674385789
"Rondônia" 110004 "Cacoal" 2017 88507 10 0.112985413583106
"Rondônia" 110004 "Cacoal" 2019 85359 1 0.0117152262795956
"Rondônia" 110005 "Cerejeiras" 2007 16290 8 0.49109883364027
"Rondônia" 110005 "Cerejeiras" 2008 16784 4 0.238322211630124
"Rondônia" 110005 "Cerejeiras" 2010 17029 2 0.117446708555993
"Rondônia" 110005 "Cerejeiras" 2011 16939 1 0.059035362181947
"Rondônia" 110005 "Cerejeiras" 2012 16852 1 0.0593401376691194
"Rondônia" 110005 "Cerejeiras" 2013 18041 1 0.0554292999279419
"Rondônia" 110006 "Colorado do Oeste" 2007 17644 7 0.396735434141918
"Rondônia" 110006 "Colorado do Oeste" 2008 18216 3 0.164690382081686
